stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,mural.cell,neural,pronephros,spinal.cord
  3-4,10.55,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.08,0,0,0,0,0,0,8.55,0,2.07
 36-46,0,0,0,1.06,0,0,0,0,16.29,0,3.13
 48-58,0,0,0,0.46,1.7,0,0.59,0,19.05,0,2.76
 60-70,0,0,0,11.24,2.7,1.86,0,0,18.44,2.54,0
 72-82,0,0,0,12.82,6.87,0,4.13,0,33.64,0,0
 84-94,0,0,0,3.49,0,1.46,9.88,0,6.57,0,0
 96-106,0,0,1.28,5.3,0,0,4.96,0,21.81,0,0
108-118,0,0,0,12.01,0,2.63,0,0.66,9.92,0,0
120,0,0,0,0,23.25,0,15.87,0,33.52,0,17.92
