stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.64,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0,2.95,0,0,2.19,103.7,0,0,0,0.92,0,3.48,2.41,0,0,1.88,31.1,0,0,0,0,0
 24-34,0,0.7,11.38,0,0,15.6,0,0,0,2.28,0.67,0,1.23,0,1.96,0,0,0,1.28,16.9,0.61,0,4.37,347.58,2.33,10.86,0,0,1.14,10.37,0,0.76,0,1.38,107.57,0,0,14.67,0,3.6
 36-46,0,0,1.28,1.1,0,48.89,0,0,0.87,9.24,0,0,0,0,4.83,0,0.77,0,0,14.52,0,0,2.83,572.03,5.73,3.99,0,0,0,3.65,0,0,0,0,134.23,0,0,3.18,0,0
 48-58,0,0,0.97,0,0,137.33,0,0.98,0,26.63,0,0,2.25,0,0,0,0,0,0.59,31.02,2.66,0,2.91,680.04,0,4.15,0,0,0.4,9.62,0,0,1.46,0,159.49,0,0.4,2.52,0,4.77
 60-70,1.1,0,6.08,0,0,174.42,0,0,0,21.85,0,0.89,2.78,0.78,0,2.89,0,7.32,0,20.67,0,0.87,1.78,737.11,1.69,3.31,0,0,0,12.45,0,0,0,0,85.77,0,0,0,0,9.67
 72-82,0,0,17.74,0,0,328.23,2.65,0,4.56,12.25,0,0,0,0,0,1.45,0,0,1.81,58,0,1.55,4.61,818.73,0.82,3.13,1.39,0,0,7.71,0,0.75,2.68,0,76.96,3.51,0.49,7.29,3.41,0
 84-94,0,0,12.77,8.23,0,273.74,0,0.58,0,14.53,0.73,0,0,1.8,1.14,0,6.41,0,0,19.03,0,5.39,3.85,612.55,0.63,3.23,0,0,0,9.18,0,0,0,0,84,0.66,1.64,6.61,3.9,0.64
 96-106,0,0,7.72,11.6,0,311.09,0,0,0,15.11,4.52,0,0.96,4.75,1.23,0,1.29,9.82,0.68,30.17,0,1.95,2.41,621.41,2.22,10.51,5.91,0,0,23.67,0,0.63,0,0,30.25,0,1.71,1.59,1.72,0
108-118,0,0,18.17,2.09,4.43,232.54,1,0.6,0.57,31.53,1.17,0,0,2.53,2.44,0,0,0,0.78,38.24,1.41,0,1.05,757.38,0,2.9,0.74,0,1.57,10.31,0,0.7,0.43,0,25.22,1.67,0.8,3.19,1.79,0.6
120,0,0,11.04,6,0,450.55,0,0,14.66,73.2,0,0,0,5.24,2.19,0,0,9.54,5.95,29.07,1.65,9.54,5.31,1547.49,0,2.15,0,0,11.71,3.31,0,5.71,0,0,67.02,0,0,7.44,0,0
