stage,axial,blastomeres,eye,glial,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,spinal.cord
  3-4,0,109.16,0,0,0,0,0,0,0,0
  5-6,8.91,44.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.33,0,0
 10-12,0,3.56,6.26,0,0,0,0,27.67,21.09,0
 14-21,0,0,0,0,1.1,0,0,1.89,0,3.77
 24-34,0,0,1.18,0,0,0,0.76,4.5,0,1.68
 36-46,0,0,0.73,0,0,0,0,0,0,1.31
 48-58,0,0,2.16,0,0.57,0.65,0,1.94,0,0
 60-70,0,0,1.43,0.92,1.27,0,0,0.77,0,0
 72-82,0,0,0.7,0,2.07,0,0,0,0,0
 84-94,0,0,0,0,0.67,0,0,0,0,0
 96-106,0,0,0.99,1.46,0,0,0,0,0,0
108-118,0,0,0,0,4.42,0,0,0,0,0
