stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,145.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,3.71,0,0,13.43,0,0,7.67,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,115.25,0,0,8.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,0,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.04,7.81,0,44.07,0,0,25.49,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.68,172.2,1.7,0,0,9.77,0,0,1.07,0,0,0,0,1.06,0,0,3.48,78.56,10.04,0,0,0,0,0,2.02,50.04,0,0,139.7,0,0
 24-34,0,0,0,0,5.37,22.98,18.07,0,0,4.15,0,0,35.86,0,0,0,0,29.67,0,0,9.81,201.38,0.92,0.98,0,6.81,0,0,0,283.91,0,0,480.85,0,0
 36-46,0,0,0,0,2.28,2.05,83.82,0,1.15,7.63,0,0,55.43,0,0.68,0,0,108.25,0,1.97,4.69,92.72,0.64,0.61,0,7.92,0,1.86,0,138.07,0,1.04,246.98,0,0
 48-58,0,0,0,0,0.68,0,215.04,0,0.39,0.45,0,23.55,62.36,0,0,2.03,0,187.22,0,3.28,13.79,84.6,0,0.69,0,0.81,0.49,0,0,47.41,0,4.92,224.21,0,2.65
 60-70,0,0,0,0,0.72,0,709.6,0,2.15,9.55,0,32.21,41.14,0,2.65,0,0,297.91,0,10.78,6.32,68.45,1.34,4.73,0,30.54,0,0,0,15.3,0,24.72,197.26,1.92,0
 72-82,0,0,0,0,3.63,0.72,840.93,0,1.1,6.01,0,2.43,38.18,0.94,0,0,0,320.44,0,33.09,4.91,86.72,0.73,1.52,0,24.83,0,0,0,8.13,0,30.01,502.5,0.67,9.7
 84-94,0,0,0.73,0,11.36,0,964.09,0,3.1,16.23,1.03,10.49,55.01,0,1.24,0,0.56,195.89,0,34.22,10.74,72.25,0,0,0,28.3,2.46,0,0,3.54,0,32.75,398.58,3.89,0
 96-106,0,0,0,0,18.36,11.79,583.7,1.28,5.47,8.04,1.5,1.32,41.26,0.89,1.68,0,0,180.87,1.23,20.59,8.78,147.9,0.73,0,0,37.91,3.4,1.21,0,8.74,0,27.55,510.03,6.78,0
108-118,0,0,0,0,19.42,3.3,522.88,0,0,6.27,4.72,0,24.36,0.42,1.22,0,7.83,226.51,0,27.34,7.72,42.22,0.69,0,0,67.3,0,2.46,0,7.79,4.14,20.04,429.22,3.49,0
120,0,0,0,0,12.66,6.56,490.28,0,0,12.11,0,0,69.67,0,0,0,7.68,185.4,0,41.73,13.21,62.68,0,0,0,118.55,1.01,0,0,9.37,0,0,493.54,3.35,0
