stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.09,373.19,10.49,0,0,0,0,0,0,36.43,0,0,0,0,0,96.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.97,6.33,22.48,0,0,36.98,0,0,0,8.88,0,0,0,0,0,113.23,0,0,80.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,105.35,0,0,57.64,0,0,0,7.48,0,0,0
 14-21,0,0,0.84,6.53,0,0.93,0,0.82,0,0,0,0,0,1.16,1.01,22.26,0.82,0,0,0.84,1.78,0.81,2.78,4.33,0,0
 24-34,0,0,0,2.31,0,3.66,0,0.76,1.16,0,3.07,0,0,0.79,0.65,18.13,5.37,0,0,0,0,0,1.95,7.49,0,0
 36-46,0,0,0,0.92,0,0.64,0,0,0,0,0,0,0,1.9,0.8,8.07,0,0,0,3.33,0,0,0,2.14,2.48,0
 48-58,0,0,0,0,0,1.75,4.29,0,0,0,0,0,0.73,0,0,6.1,0,0,0,0,0,0,0,0.44,0,0
 60-70,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.6,0,2.44,0,0,0,0,0,0,0,1.94,0,12.58,0,0,0,0.54,0,0,0,0,0,0
 84-94,0,0,0,0.79,0,0,0,1.95,0,0,3.68,0,0,1.45,0,2.79,0,0,0,0,0,0,0,1.37,0,0
 96-106,0,0,0,0,0,4.08,0,1.29,0,0,0,0,0,0,0,7.08,0,3.95,0,0.71,0,0,0,0,0,0.8
108-118,0,0,0,0,0,3.92,0,0,0,0,0,0.5,0,0,0,9.99,0,0,0,0.81,0,0,0,0,0,0
120,0,0,0,0,1.12,19.88,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0
