stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.85,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.91,1109.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,0,0,0,10.37,18,0,0,0,0,0,0,0,0,0,0
  7-9,22.13,33.65,0,49.53,0,0,117.28,0,0,0,0,0,24.96,0,0,0,0,0,0,0,0,0,1022.85,21.15,0,0,253.27,0,11.46,0,12.83,0,0,0,0,0,0,0
 10-12,0,32.11,0,71.85,0,6.05,74.4,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,881.12,49.48,0,0,384.57,6.84,12.65,0,58.44,5.05,7.62,0,0,0,0,0
 14-21,0,0,1.09,0,10.57,12.17,3.72,0,0,0,3.31,0,0,0,0,0.86,0,0,7.02,0,0,1.71,60.87,0.82,0,0.93,0.94,2.42,0,11.95,2.18,7.63,19.39,0,0,1.81,0,0
 24-34,0,0,0,0,4.22,1.42,11.19,0,0.7,0,1.55,0,0,0.75,0,1.98,0,0,10.08,0,0,6.84,102.16,1.58,0.77,1.64,0,3.81,0,0,1.45,0,26.97,0,0,5.23,0,0
 36-46,0,0,0,0,1.54,1.17,22.17,0,0,0.61,6.11,0,0,0.99,0,0,9.29,0,4.32,0,0,0.56,41.41,0,0,1.24,0,3.01,0,0,0,0,24.32,0,0,1.53,0,0
 48-58,0,0,0,0,5.23,2.26,33.62,0,0,0.44,12.61,0,0,0,0,0.52,0.6,0,12.86,0,0,1.73,56.69,0,0,0,0,0,0,0,0,0,7.63,0,0,0.43,0,0.54
 60-70,0,0,0,0,0,0,45.91,2.44,0,0.62,23.81,1.97,0,0,0.98,0,0,1.92,18.98,0,1.3,0,47.87,0,0,0,0,0.63,0,0,0,0,6.02,0,0,0,0,0
 72-82,0,0,0,0,2.83,0,25.31,0,0,1.2,17.26,0,0,0,0,0,0,0,26.68,0,0.68,1.05,70.04,0.57,0,2.41,0,0.56,0,0,0.97,0,7.25,0,4.36,1.55,0,0
 84-94,0,0,0,0,1.5,2.12,25.3,0,0.62,1.09,14.49,1.46,0,1.75,0,0.68,0,0,27.88,0,0.6,0.64,15.2,0,1.17,1.12,0,1.92,0,0,0,0,2.57,0,0,0.56,0.77,0
 96-106,0,0,0,0,3.21,0,20.61,0,0.63,0,6.55,0,0,0.92,0.85,0.63,0,0,11.09,0,1.34,0.93,50.41,0,1.23,0.62,0,1.84,0,0,0,0,5.05,0,0,4.15,0,4.01
108-118,0,0,0,0,2.62,1.78,7.03,0,0,0,8.88,3.21,0,0,0.58,0.6,0.64,1.5,13.38,1.3,0,2.46,46.37,0,0,0.43,0,1.62,0,0,0,0,0,1.21,0,0,0.68,0
120,0,0,0,0,5.99,3.5,18.72,0,0,0,13.71,0,0,0,2.07,0,0,0,25.65,0,0,1.9,49.55,0,6.18,1.59,0,2.12,0,0,1.87,0,0,0,0,0,0,0
