stage,epidermis,erythrocytes,eye,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,1.22,0,0,0,0.94,0,0,3.03,0,0.91,0,0,0
 24-34,0.9,0,0.84,0,0,0,0.87,0,1.22,25.1,0,0,6.93,1.88,0
 36-46,0,0,1.49,1.26,0,0,0,0,0,8.94,0,0,0,0,0
 48-58,0,0,1.46,4.8,0,0,0.81,0,0,10.4,0,0,1.23,0.58,0.56
 60-70,0,0,2.84,0.82,0.71,0.63,1.23,0,0,18.58,0,0,9.89,0,0
 72-82,0,0,8.28,0,0,0,0.82,0,0,17.48,0,0,0,0,0
 84-94,0,5.69,9.36,0.96,0,0,1.55,0,0,7.31,4.96,0,2.01,0.69,0
 96-106,0,0,0,0,0,0,2.85,0,0,8.85,0,0,0,0,0
108-118,0,0,7.76,0.98,0,0,2.53,0.83,0.48,4.87,0,0,0,0,0
120,0,0,0,14.56,0,0,0,0,1.03,15.05,0,0,0,0,0
