stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,3.5,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.08,12.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.2,0,0,0,0,0,0,0,17.42,2.24,0.92,0,0,0.87,0,6.42,1.47,0,0,1.72,15.66,0,0,0,0,0.87,0,5.5,0,0,0,0,0
 24-34,0,0.73,0,0,0,0,0,0,0,0.82,0,1.44,0,0,0,0,10.84,0,0.82,1.31,1.56,0,0,0,0,0,0,0,0.63,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,1.53,12.26,0,0,0,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,33.68,0,0,0,1.09,0,0,0,0,0,0,0,3.75,0,0,0,0,0.94
 72-82,0,0,0,0,0,1.23,0,0,9.33,3.98,0,0,0,0,2.56,0,101.18,1.46,0,0.71,12.36,0,0,0,0,0,0,0,2.88,0,0,0.72,0,2.17
 84-94,0,0,0.58,0,0,15.31,0,0,0,0,0,0,3.28,0,0,0,464.82,4.24,0,0,49.02,0,0,0,0,0,0,0,0,0,0,2.02,0,1.57
 96-106,0,0,4.64,12.87,0,29.06,1.42,0,3.99,5.32,0,0,0.74,1.18,1.2,1.42,670.8,34.34,0,0,64.87,0.59,0,0,2.17,5.69,0,0,0,0,2.5,5.41,6.74,0
108-118,0,0,3.14,0.96,1.2,8.18,0.46,0.42,12.9,6.23,0,0,0.7,0,0.56,0,1731.48,9.29,0,1.67,108.54,0,0.69,0,0,5.18,0,1.73,0,1.83,0,0,0,0
120,0,0,8.3,0,0,2.16,0,0,6.52,7.9,0,0,0,0,0,0,469.4,4.46,0,10.8,57.24,0,0,0,0,5.73,0,0,0,0,5.29,1.26,0,0
