stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,6.63,4.5,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.07,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.52,22.96,16.23,0,20.43,0,0,0,0.95,0,0,1.78,0,0,0,0,0,52.66,0,0,4.44,685.54,0,1.09,20.76,0.86,0,0,1.73,8.33,0,1.67,8.07,0,0,12.25,0,0
 24-34,0,0,0,16.54,7.62,3.25,0,91.39,0,0,0,0,0.77,0,6.36,0,0.59,0.83,0,0,247.31,0,0,29.53,1647.06,0.64,0,79.49,0,0,3.2,1.58,5.79,0,0,196.1,0,0,141.79,0,0.93
 36-46,0,0,0,2.8,16.28,1.57,0,75.91,0,0,4.86,52.37,0,0,3.15,1.16,0,0,1.62,0.66,399.53,0,0,22.85,2618.12,0,2.15,70.13,0,3.82,2.58,1.05,0.93,0.76,0,617.02,0,0,72.71,0,0
 48-58,0.55,0,0,5.41,14.25,6.06,0,162.4,0,14.75,5.94,109.9,4.32,0,0.91,0,0,0,0.48,0,495.83,0,0,15.91,1904.81,0,0.39,25.49,0,0.79,1.51,0,0,0.94,0,277.32,0,1.96,54.83,0,2.5
 60-70,0,0,0.89,2.79,3.67,2.11,0,235.71,0,1.31,11.93,103.06,11.36,0,3.41,0,0.61,0,0,7.57,581.21,2.49,3.5,16.54,1475.53,6.76,0.61,22.67,0,0,5.79,0,5.01,0,0,89.63,0,4.77,40.38,0,1.87
 72-82,0,0,1.32,0,14.34,0,0,114.85,0,0,20.47,44.52,15.11,0,0.58,0.59,0,3.48,1,0,493.8,0,5.79,5.71,653.06,0,2.37,22.16,0,0,0,0,2.1,0,0,39.2,0.87,1.24,69.57,0,0
 84-94,0,0,0.89,0,17.06,3.55,1.09,174.09,0.67,0,11.59,47.72,21.07,0,4.07,0.7,0,0,0,0,433.27,1.21,3.63,9.98,400.46,0,4.93,57.67,0,0,10.64,0,3.48,0,0,7.47,2.83,9.12,78.06,4.73,0
 96-106,0,0,0,0,2.59,2.32,0.6,82.66,0,0,5.61,87.39,17.84,0,7.73,0,0.57,0,0.9,0.59,336.23,0,4.79,20.82,303.24,0,9.75,46.34,0,2.69,8.16,0,2.2,0,0,7.44,0.83,5.32,61.09,1.66,2.47
108-118,0,0,2.77,0,5.31,0.69,11.18,93.79,0,0.52,12.37,42.88,14.87,0,1.62,0,0.49,3.25,1.4,7.34,322.74,0,7.3,2.32,368.13,1.04,9.98,40.91,0,1.89,2.11,0,2.59,0,0,4.05,2.12,0,55.11,2.42,0
120,2.82,0,0,0,1.48,0,2.95,151.79,3.87,0,29.48,82.97,43.51,0,11.08,0,0,0,0,0,392.2,0,8.26,0,713.04,0,3.35,46.8,0,0,0,0,5.4,0,0,4.09,0,24.24,23.33,0,0
