stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,73.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,3.56,0,0
 10-12,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,3.14
 24-34,0,0,0.69,0,0,0.74,0,0,27.54,0,0,0,0,0,0,548.62,0,0,0,1
 36-46,0,0,1.17,0,0,1.96,0,0,0,0,0,0,2.91,0.85,0,1763,0,0,0,5.43
 48-58,0,0,0,0,0,13.42,0,0.45,21.2,0,0,0.43,0,1.88,0.41,1046.1,0,0,0,8.18
 60-70,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,32.31,0,0,0,0.96
 72-82,0,0,0,0,0,8.99,0,0,0,0,0,0,0,5.56,0,1431.77,0,0,0,0
 84-94,0,0,0,0,0,20.5,0,0.83,0,0,0,0,0,0.59,0,337.33,29.51,0,0,0
 96-106,0,0,0.79,0,0,167.65,2.82,0,0,0,0,0,0,1.94,0,1107.35,0,0,7.29,0
108-118,0,0,2.44,0,1.86,105.76,0,2.9,3.43,0.59,3.95,0,0,10.45,0,2675.85,0,0,1.65,0
120,0,0,21.57,1.87,0,0,0,0,0,0,0,0,0,19.49,0,4268.78,0,0,1.11,0
