stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,periderm,spinal.cord
 14-21,0,0,0,0,0,0,1.76,0.99,2.7,0
 24-34,0,0,0,0,0,0,0.65,0,0.72,1.65
 36-46,0,0,0,0,1.61,0,3.41,0,0,0
 48-58,0,2.4,0,0,0,0.73,1,0,0,2.3
 60-70,0,0,0.94,0,0,0,1.05,0,0,0
 72-82,0,0.6,0.78,0,0.76,0,5.34,0,0,0
 84-94,1.85,11.1,0,0,0.64,0,3.91,0,0,0
108-118,0,5.68,2.61,1.17,1.17,0,11.03,0,5.53,0
120,0,0,18.21,0,1.1,0,12.67,0,0,0
