stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.84,0,0,0,0,0,0,0,0,0,0,0,0,44.65,0,3.63,0,0,0,0,0,0
 10-12,0,0,7.55,0,0,0,0,0,0,0,0,0,0,11.79,0,10.16,0,0,0,0,0,0
 14-21,0,6.7,5.7,0,0,0,0,0,0,0,0,6.72,1.63,38.18,0,0,0.86,4.63,4.88,10.91,1.76,5.96
 24-34,0,0,3.98,0,0,0,1.02,0,0,0.75,1.39,6.02,1.47,12.11,0,0,3.03,0,0,0.92,1.74,0
 36-46,0,1.24,6.38,0,0,0.58,0,0,0,0,0,1.51,0.72,9.27,0,0,1.18,0,0,0.68,0,1.22
 48-58,0,0,5.75,0,0,0,0,0,0,5.12,0,5.51,0,12.42,0,0,0,0,0,6.29,0,0
 60-70,0,0,19.08,0,0,0,0,0,0,0,0,2.74,0,7.79,0,0,1.78,0,0,0.96,0,0
 72-82,0,0,14.95,0,0,0,0.68,0,0,0,0,2.98,0,2.83,1.09,0,0,0,0,0,0.63,0
 84-94,0,1.26,9.61,0.84,0.94,0,0,0.79,0.67,0,0,0,0,0,0,0,0.75,0,0,0,2.13,0
 96-106,0,0.77,7.67,0,0,2.27,0,0,0,0,0,2.55,0,7.62,0,0,0,0,0,0,0,0
108-118,0,0.85,7.79,0,0,0.63,0,0,0,0,0,1.31,1.33,5.85,0,0,0.52,0,0,0,1.24,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0
