stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,46.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.54,11.82,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,5.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,8.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.14,1.21,0,0,30.66,0,0,1.98,0,0,0,5.91,0,0,0,5.95,0,0.96,4.45,0,0,0
 24-34,0,0,0,2.23,0,0,0.61,0,0.94,0,0,0,0,0,31.27,0,0,2.68,0,0,0.78,18.94,0,0,1.66,19.55,0,0,6.73,0,5.73,0
 36-46,0,0,0,2.21,0,0,2.56,0,0,0,1.1,0,0.92,0,66.15,0,0,0.73,2.18,0,0.91,23.61,0,0,9.74,31.94,0,0,7.69,0,0.58,0
 48-58,0,0,0,12.84,0,0,8.9,0,0,0,0,0,0,0,85.54,0,0,3.16,15.24,0.43,0,24.87,0,0,0,23.39,0.93,0,5.79,0,0.61,0
 60-70,0,0,0,20.3,0,0,3.65,0,3.88,0.84,0,1.66,0,0,93.66,0,0,0.74,14.85,0,0,21.48,0,0,5.16,36.1,0,0,0,0,0,0
 72-82,0,0,0,10.85,11.8,0,5.66,2.62,0,0,0.56,8.12,1.25,0,330.91,0,0,1.47,6.81,0,0,13.56,0,0,0.53,32.21,0,0,1.8,0,0,0
 84-94,0,0,0,53.5,3.24,0,16.32,0,0,0,8.34,32.46,0,3.73,405.24,0,1.49,2.13,29.39,0,0,13.27,0.92,0,10.42,115.26,0,0,0,0,0,0
 96-106,0,0,0,69.79,10.33,0,20.26,0,0,0.97,8.27,52.54,1.98,0,624.91,0,0.8,11.44,16.71,0,0.58,39.91,0.6,0,1.25,61.64,0,0,0,0,0,1.22
108-118,0,0,0,100.12,3.67,1.59,23.18,0,0.46,0,8.93,94.21,0,0,652.7,2.05,0,4.29,30.82,0,1.25,37.4,0,0,5.87,68.15,0,0,0,0.77,1.38,0
120,0,0,4.41,69.51,0,0,13.19,0,0,10.14,0,44.12,0,0,360.33,3.58,7.06,6.65,21.33,0,0,8.48,0,0,2.08,58.22,0,0,0,0,0,0
