stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,218.71,3587.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67,0,0,0,0,0,0,0,0,0,0
  5-6,288.68,5326.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.61,0,0,0,39.22,0,48.56,0,0,0,0,0,0,0,0,0,0
  7-9,57.26,184.4,0,197.08,0,5.98,0,538.76,0,0,0,0,0,51.24,0,0,0,0,0,0,0,0,0,0,4714.33,55.87,0,0,1712.44,0,0,54.53,0,0,0,0,0,0,0,0,0
 10-12,4.89,140.67,0,122.79,0,11.49,0,199.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621.71,20.05,0,0,783.95,0,0,6.56,0,91.42,0,7.02,0,0,0,0,0
 14-21,0,0,0,9.52,43.57,4.84,0,44.42,0,0,0,5.99,0,0,0,0,3.87,0,0,0,25.72,0,0,18.58,601.58,2.52,1.94,3.61,11.33,0,20.86,2.66,23.01,0,11.81,156.23,0,0,0,0,0
 24-34,0,0,0,0.6,14.99,6.32,0,252.27,0,1.86,0,11.87,0,0,3.06,0.71,3.42,4.21,1.79,3,80.71,0,0,28.62,1412.32,6.42,6.22,5.75,1,0,28.55,0,0,0.66,3.09,216.26,0,0,10.2,0,3.65
 36-46,0,0,0,0.63,21.3,0,0,213.57,0,1.24,1.19,16.19,0,0,0.69,0,0.68,4.31,0,0,53.46,0,3.12,14.17,608.18,0,3.77,0.8,0,0,10.04,0,0,0,0,88.74,0,0,3.26,0,0
 48-58,0,0,0,0,8.26,0.69,0,155.34,0,6.38,0.46,13.12,3.98,0,5.82,5.89,8.18,1.14,1.68,0,33.16,0,0,11.1,225.7,0.79,1,0.76,0,0,1.09,0,0,0,0,24.81,0,0,12.49,0,1.24
 60-70,0,0,0,0,11.51,0,0,101.46,0,0,1.6,24.15,0.62,0,0,2.24,0,4.16,1.57,0,48.11,0,2.57,0.69,173.61,0,2.83,0,0,0,16.3,0,0,0,0,0,0.92,0,5.29,0,0
 72-82,0,0,0,0,9.65,0,0,41.89,0.73,0,0.74,17.11,0.6,0,0,0.74,0.75,9.12,0.68,0,57.02,1.79,1.14,9.91,105.82,0,0,1.09,0,0,2.54,0,0,0,0,2.19,0,0.93,1.11,0,2.63
 84-94,0,0,0,0,6.81,0.59,0,40.03,0,0,1.29,11.14,1.29,0,0,1.42,0.73,0,0.78,36.61,44.36,0.78,0.55,12.45,50.61,0,1.65,0.92,0,0.57,6.86,0,0,0,0,0.8,0,0,11.99,0.92,0
 96-106,0,0,0,0,9.63,7.03,0,25.69,0,0,0,12.65,1.3,0,0,6.8,0,0.6,0,1.45,20.33,0,0,3.09,66.25,0,0.57,3.52,0,0.81,0,0,0,0,0,0,0,0,11.97,0,0
108-118,0,0,0,0,10.54,1.48,3.61,50.12,3.3,0,0.8,34.24,1.29,0,0,9.62,2,0.49,1.98,9.6,44.5,0,0,8.06,119.45,2.81,0,4.91,0,1.8,10.55,0,0,1.75,0,1.12,1.97,0,4.91,0,0
120,0,0,1.37,0,18.12,9.79,0,106.25,0,0,4.33,96.14,0,0,0,17.55,0,1.59,0,3.79,103.42,0,15.25,32.18,345.95,4.31,14.11,9.81,0,0,2.78,0,0,0,0,32.47,0,0,17.77,0,0
