stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,0,0,0,0,0,0,0
  5-6,149.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.81,0,0,0,4.91,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.35,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.32,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.66,11.37,1.04,0,0,0,0,0,1.86,0,0,5.69,0,0,0,0.86,0.83,0,0,0,22.17,1.48,0,0,0,11.55,0,0,0,0,17.65,0,0,0,0,0
 24-34,0,0,3.17,0,0,0,0,0,0.7,0.67,0,1.37,8.17,0,0.64,0,0,3.17,4.16,0.91,0,80.4,0,0,0,0,64.89,0,2.71,0.61,0.78,32.18,0,0,0.66,0,1.19
 36-46,0,0,0.6,0,7.26,0,0,0,3.19,0,2.19,0,4.04,0,2.02,0,0,2.34,0.59,0,0,219.97,0,1.26,0,0,71.28,3.04,0,0,0,56.62,0,0,0,0,0.71
 48-58,0,0,0,0,26.65,0,0,0,1.92,0,0.37,0,6.77,0,2.24,0,1.16,0.5,0,0,0.64,242.72,0,0.98,0,0,27.86,0,0,0.93,0,64.37,0,0,0,0,5.49
 60-70,0,0,1.95,0,63.51,0,0,0.6,3.91,0,2,0,2.19,0,2.2,0,0,3.72,2.07,0,0,299.33,0,1.43,1.01,0,35.99,0,0,0,0,61.59,1.44,0,0,0,0
 72-82,0,0,3.13,0,73.12,0,0,0,3.56,1.74,0,0,3.69,0.54,4.07,0,0,12.6,2.54,0,2.56,291.92,0,0,2.27,0,42.74,0,0,0,0,39.37,0,0,0,1.08,2.52
 84-94,0,0,8.18,0,44.79,0,1.14,0,7.49,1.65,0,0,10.07,0,0.94,0,0,7.44,0,2.7,0,161.7,0,2.48,0.59,0,63.43,0,0,0,0,27.89,1.17,5.24,0,0.68,9.94
 96-106,0,0,15.51,0,37.89,0,0,0,11,1.31,2.64,0,8.98,0,2.82,0,0,4.16,8.28,1.55,0.83,160.1,0,2.42,0,0,59.63,0,0,0,0,11.18,2.46,0.96,0,0,0
108-118,0,0,12.38,0,33.1,0,1.1,0,2.71,11.55,0,0,9.94,0,1.64,0,0.61,3.08,6.9,1.58,0,166.46,0.46,4.22,0,0,50.29,0,0,0,0,8.62,2.88,0,0,5.13,0
120,0,0,4.37,0,40.78,2.05,2.34,0,6.49,3.15,0,0,21.48,11.36,4.85,3.71,0,8.98,6.54,0,0,343.62,0,1.11,2.25,0,26.87,0,0,0,0,13.33,0,0,0,0,0
