stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,112.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.43,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.57,0,0,0,16.93,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,95.26,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,72.72,8.57,0,4.66,0,3.92,0,0.81,2.52,0.94,0,0,0,0,0,0,0,9.34,0,0,4.14,18.98,712.73,0,2.52,7,0,0.85,0,1.31,0.83,0,17.12,62.33,0,1.01,0,0
 24-34,0,0,0,0,141.85,0,0,36.16,0,91.14,39.57,1.84,0.67,0,0.86,0,0,0,0,0,0,55.66,0,0,36.39,68.6,367.33,0,5.78,0,0,2.49,0,0,2.43,2.8,20.18,50.6,0,5.88,0,0
 36-46,0,0,0,0,87.28,0,0,16.06,0,181.85,165.93,2.33,0,0,0,1.03,0,0,0,0,2.27,80.88,0,0,27.54,50.73,219.68,0,5.25,0,0,3.87,0,0,0,0,2.35,26.98,0,17.59,0,0
 48-58,1.73,0,0,0,69.37,0,0,29.55,0,140.07,234.87,12.76,0,0,0,0,0,0,0.58,0,0,147.64,1.58,0,15.76,77.99,217.31,0,22.87,0,0,0.75,0,0,0,0,0,12.71,0.84,4.48,0,0
 60-70,0,0,0,0,72.11,0,0,29.92,0.58,141.57,263.11,26.24,0,0,0.59,0,0,0,0,7.73,0,291.97,1.41,0,8.72,56.13,103.02,0,22.78,0,0,4.13,0,0,0,0,0,10.56,0,11.05,0,0
 72-82,0,0,0.5,0,29.72,3.73,0,84.9,0,138.47,375.83,51.71,0.67,0,0,0,0,4.34,1.9,3.19,0,422.3,0,1.04,14.46,58.37,78.73,0,40.21,0,1.77,9.03,0,0,0.76,0,0,12.01,1.33,5.85,3.42,5.72
 84-94,0.62,0,0,0,44.11,0,0,95.44,0,120.69,270,41.34,2.94,0,0,0,0.8,0.76,0,0,0,300.85,0,0.72,4.8,22.62,156.86,0,45.69,0,0,16.74,1.4,0,3.96,0,0,7.5,1.21,4.54,2.66,0.76
 96-106,2.68,0,0,1.07,56.61,8.09,0,71.47,0,133.22,214.36,51.75,0,0,0,0.72,0,2.38,0.75,8.94,7.05,280.69,0.61,0,6.92,36.63,116.91,0.68,63.58,0,0,10.07,0,0,2.65,0,0,10.83,0,13.79,10.18,0
108-118,0,0,0,0.74,71.69,0.91,0.57,131.62,0,167.72,187.84,59.9,0.59,0,1.35,0.5,0,10.78,0,0,0,242.53,0.77,0,1.7,43.15,130.29,1.45,55.63,0,0,17.66,0,0,2.02,0,0,11.53,2.6,1.3,5.06,6.66
120,0,0,0,0,62.71,2.24,0,66.87,0,129.7,186.13,101.67,0,0,0,0,0,0,0,3.79,0,228.61,1.16,0,2.83,60.65,270.48,0,37.09,0,0,19.01,0,0,1.56,0,0,14.39,0,4.93,4.22,0
