stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord
  5-6,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.91,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,0,0
 14-21,0,0,0,0,0.97,0,31.19,0,0,2.35,0,13.42,0,0,0,16.82,1.02,16.67
 24-34,0,0,0,0,0,0,11.98,0,0,0,0,18.23,0,0,1.36,5.45,0,12.1
 36-46,0,0,0,0,0,0,18.74,0,0,0,0,5.51,0.7,0,0,5.23,0,11.04
 48-58,0,0,0,0,0,0.47,1.23,0,0,0,0,7.89,1.22,0,0,0,0,6.95
 60-70,0,0,0,0,0,0,1.88,0,0,0,0,0.57,0.73,0,0,0,0,2.31
 72-82,0,0,0,0,0,0,5.65,0,0,1.01,0,1.28,0.97,0,0,0.57,0,0
 84-94,0,0,0,0,0,0,3.5,0.8,0,3.13,0,0,2.5,2.29,0,6.25,0,0.59
 96-106,0,0,1.61,0.79,0,6.18,14.24,5.23,0,0,0,0.77,1.1,0.9,0,1.28,0,17.3
108-118,0,0,1.06,0,0,3.86,3.7,1.96,2.5,1.65,3.54,2.51,1.89,7.11,0,4.19,0,2.59
120,0,11.31,0,0,0,4.48,17.48,0,0,0,0,2.49,3.8,0,0,3.09,0,9.44
