stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,neural,notochord,periderm,pgc,vasculature
  3-4,10.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.74,0,0,0,0,0,0,8.03,0,6.32,0,0
  7-9,0,0,0,0,0,0,0,5.03,0,5.09,0,0
 10-12,0,0,0,0,0,0,0,26.69,0,0,5.47,0
 14-21,0,0.87,0,0,0,0,0,1.17,0,0,0,0
 24-34,0,0,0,0,0,3.01,0,0.73,0,0,0,1.26
 36-46,0,0,0,0,0,0.68,0,2.21,0,0,0,3.71
 48-58,0,0,0,0,0,1.79,0.47,5.55,0,0,0,3.4
 60-70,0,0,0,0,0.74,0,0,3.17,0,0,0,9.34
 72-82,0,0,0,0,0,0.87,0,3.95,0,0,0,14.16
 84-94,0,0,1.07,0,0,1.27,1.57,3.18,0,1.87,0,4.19
 96-106,0,0,0,0,0,0.95,0.93,0,0.7,0,0,1.2
108-118,0,0.72,0,0.44,0,0,0,1.71,0,2.23,0,2.5
120,0,2.99,6.11,0,0,0,0,0,0,0,0,2.97
