stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.22,1515.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.68,0,0,0,0,0,0,0,0,0,0
  5-6,188.93,3203.9,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.27,0,0,0,29.25,25.52,0,0,0,0,0,0,0,0,0,0
  7-9,62.71,71.91,0,44.51,0,0,0,80.76,0,0,0,0,33.65,0,0,0,0,0,0,0,0,0,0,948.4,85.65,0,0,750.04,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,24.41,0,31.84,0,11.1,0,22.75,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,604.81,47.63,0,0,376.42,0,8.58,0,3.69,3.24,0,0,0,0,0,0
 14-21,0,0,0,2.97,28.53,5.97,0,9.56,0,0,0.91,2.93,0,0,0,0,0,0,18.17,16.72,0,0,10.55,97.06,6.15,0,3.77,12.66,0,0,43.96,2.46,12.22,38.73,0,0,3.97,0,0
 24-34,0,0,0,0,2.28,0,0,9.06,0,0,1.85,0,0,0.94,0,0,0,0,1.63,5.79,0,0,1.97,56.28,11.51,1.03,0,0,0,0,1.58,0,2,16.15,0,0,5.24,0,0
 36-46,0,0,0,0,0,0,0,23.58,0,0,0,0,0,0,0,0,0.61,0,0,3.66,0,0,0.55,21.05,0,0,0,0,0,1.61,0,0,0,11.75,0,0,0.56,0,0
 48-58,0,0,0,0,0,0,0,349.41,0,0,7.25,0,0,0,0,0,0,0,0,7.71,0,0,1.05,30.33,0,1.3,0,0,0,0,0,0,0,5.52,0,0,0,0,0
 60-70,0,0,0,0,0,0.97,0,937.47,3.1,0,1.15,0,0,1.05,0,0,0,0,0,5.08,0,0,0,20.58,0,0,0,0,8.49,0,0,0,0,5.49,0,0,0,0,0
 72-82,0,0,0.71,0,6.54,1.23,0,1075.89,0,0.55,5.84,1.68,0,0,0.55,0,0,2.6,0.57,5.54,0,0,0,67.11,0,0,0,0,0,0,0,0,0,15.04,0,0,0.79,0,0
 84-94,0,0,0,0,4.33,4.36,0,949.3,0,0,6.43,0,0,0,0,0,0,0,0,8.38,0,1.16,2.12,62.98,0,0,0,0,0,0,0,0,0,8.67,0,0,1.29,0,0
 96-106,0,0,0,0,5.96,37.63,0,942.08,0,0,11.85,0,0,3.54,0,0,0,0,0,15.94,0,0,6.64,46.8,0,0.83,0,0,0.94,0,0,0,0,4.12,0,0,3.42,0.86,0
108-118,0,0,0.92,0,5.19,11.31,0.66,755.23,0,1.17,3.94,0.71,0,0,0,1.45,0,0,1.1,7.07,0.54,0,1.7,78.63,0,0,0,0,3.95,0,0,0,0,4.32,1.2,0,2.13,1.46,3.32
120,0,0,0,0,0,0,0,584.23,0,0,7.91,0,0,0,0,0,0,0,0,27.26,0,0,0,120.88,0,1.54,0,0,0,0,0,0,0,0,0,1.46,0,3.69,0
