stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,63.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,7.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0
 14-21,0,1.11,0,0.86,3.04,0,0,0,0,0,0,0,0,1.26,0,0,0,0,10.66,2.2,0,0,99.87,48.15,4.91,0,4.03,0
 24-34,0,0,0,0.61,0,1.01,0,0,0,0.97,0,0,0,4.06,0,3,15.98,2.7,6.95,0.76,0,0,25.45,1.31,0,0,5.45,0
 36-46,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.83,0,10.49,53.26,0.85,11.21,0,0,0,3.12,0,1.63,0,0,0
 48-58,0,0,0,0,0,1.36,0,0,0.61,0,0.81,4.33,0,9.63,0,0.62,49.62,0,6.84,0,0,0,0,0,0.51,0,1.09,0
 60-70,0,0,0,0.75,0,0,0,0,0.86,1.01,12.27,3.12,0,16.95,0,0,56.48,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.66,0,5.39,0,0.58,0,0,81.38,1.11,0,6.84,0,1.52,95.59,1.05,8,0,0,0,0,0,0,1.21,3.14,0
 84-94,0,0,0,8.68,0,1.5,0,1.63,0,0,146.03,0,0.71,0.74,0,1.68,130.63,0,8.1,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,10.7,0,9.92,0,3.11,0,2.01,419.56,0,0,5.12,2.41,11.86,148.75,0,39.19,0,0,0.64,0,0,0,3.33,0.8,9.14
108-118,0,0,0,16.23,0,3.71,0.64,1.71,0.43,0,601.8,0,0,0.46,0,4.21,121.17,0,7.26,0,0,0,0,0,1.84,12.11,2.68,0
120,0,0,0,17.05,0,0,0,0,0,0,443.32,0,0,0,0,0,95.45,0,21.37,0,0,0,0,0,0,10.36,0,0
