stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,3.41,0,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,48.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,44.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,0,0,0,0,0,0,1.58,0,0,0,0,0,0.98,0,1.13,3.41,3.25,0.81,0,1.88,4.97,15.91,2.11,0,0,0
 24-34,0,0,0,0.62,0,2.44,0,0,1.41,0,0,0,1.17,0,0,1.19,0,0,1.38,3.22,43.17,0,0.63,0,2.57,0.97,3.08,0,0,0
 36-46,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,3.54,7.57,60.72,0,1.72,0,1.66,0,1.24,0,0,0
 48-58,0,0,0,0,0.75,9,0,0,1.46,0,0,0,0,0,0,0,0.83,0,0,9.22,50.15,0,0,0,0,0,3.46,0,0,3.48
 60-70,0,0,0,0,0.6,4.68,0,0,2.61,0,0,0,0,0,0,0,0,0,0,20.18,60.27,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.31,11.48,2.53,0,8.24,0,0,0,0,0,0,0,2.81,0.73,1.72,38.28,89.69,0,0.71,0,0,0,2.33,0,0.65,0
 84-94,0,0,0,2.52,1.83,5.87,0,2.69,9.08,0,0,0,0,0,0,0,0.78,0,0.74,41.85,94.18,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.76,9.99,21.47,0,0,17.87,1.17,0,1.14,0,0,0,0,0,0,0,49.81,153.03,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.47,7.94,0,0,3.13,0,0,0.42,0,0.42,0,0,3.22,0,0,84.06,86.58,0,0,0,0,0,0,1.56,0,0
120,0,0,0,0,9.9,6.76,0,0,3.97,1.92,0,3.46,0,0,5.29,0,0,0,0,123.59,91.08,0,0,0,0,0,1.57,0,0,0
