stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.32,0,0,0,1.67,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0.9,0,0.95,1.22,24.73,1.08,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1,0,0,0,0,33.02,0,1.89,0,0,0.85
 48-58,0,0,0,0,0,0,0.48,0,0,0,0.39,1.22,0,14.34,0,0,0,0,0
 60-70,0,0,0,0,1.79,0,0,0,0,0,0,1.09,0,11.54,0,0,0,0,0
 72-82,0,0,0,0,5.61,0,0,0,0,1.03,0,0,0,0.73,0,0,0,0,0
 84-94,0,1.58,0.69,0,0.64,0,0,0,0,0,0,2.59,0,4.94,0,0,0,0.64,0
 96-106,0,0,0,0,5.34,0,0,0.8,0,4.75,0,5.09,0,4.9,0,0,0,0,0
108-118,0,0,0,0,3.77,0.5,0,0,0,0,0,0,0,3.47,0,0,0.42,0,0
120,1.24,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
