stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vasculature,xanthophores
  5-6,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3.55,0,0,0,0,0,3.54,0
 24-34,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,11.73,0,0,0,0,0,5.49,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,2.04,9.15,0,0,0,0,0,9.51,0
 48-58,0,0,0,0,0,4.52,0,0,184.88,0,0,2.04,0,0,0,0,4.97,0,0,7.64,8.45,0,0,0,2.29,0,1.92,4.3
 60-70,0,0,0,0,0,10.72,0,0,1236.89,0,0,2.02,0.68,0,0,0,26.44,0,0,15.76,0.7,0,0,0,0,5.7,4.25,14.47
 72-82,0,0,0,3.79,0,31.12,0,0,1831.75,0,0,0.61,3.43,3.25,1.36,0,77.03,0,0,27.32,0.77,0.76,0,0,1.78,3.09,1.62,21.62
 84-94,0,0,13.7,1.24,0,34.5,1.24,2.71,1874.33,1.01,0,7.41,0.63,0,0,0,240.69,0,0,28.8,0,0,0,0.91,1.44,1.8,10.07,41.49
 96-106,0,0,20.82,10.71,0,81.05,28.43,6.36,1704.32,0,0.76,5.81,0,0,0,0,214.44,1.15,1.94,89.44,0,0,0.8,0,8.17,6.16,8.62,48.32
108-118,0,0,0.42,1.55,14.85,31.08,0,0,2756.77,0,0,2.07,4.61,0,0,1.43,140.28,0,0,45.22,0,0,0,0,2.51,3.08,4.4,73.31
120,0,0,3.27,0,0,96.32,8.48,0,2781.17,0,0,3.13,0,0,18.38,0,69.21,0,4.4,50.4,0,7.4,0,3.42,0,46.74,14.52,24.88
