stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.45,1250.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,0,0,0,0,0,0,0,0,0
  5-6,82.01,2400.29,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,52.23,0,0,0,16.3,0,104.12,0,0,0,0,0,0,0,0,0
  7-9,71.06,85.87,0,124.77,0,0,0,88.45,0,0,0,0,45.22,0,0,0,0,0,0,0,0,0,0,0,1168.91,125.38,0,0,451.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.61,0,93.27,0,15.38,0,68.78,0,0,0,0,27.09,0,0,0,0,0,0,0,0,0,0,0,1097.69,46.3,0,0,332.86,0,0,4.75,61.84,0,0,0,0,0,0,0
 14-21,0,0,0,2.52,17.97,2.54,0,4.64,0,0,3.79,1.11,0,0,0,0,0,0,0,0,12.88,0,0,9.56,124.95,2.52,0.83,2.19,1.8,0,5.57,21.98,5.8,0.98,21.81,42.05,0,0.85,0,0
 24-34,0,0,0,0,3.05,0.67,0,20,0,0.61,5.91,1.69,0,0,0,0,0.85,0,0,0,30.49,0,0.69,3.88,261.22,0.87,3.7,0.95,0,0,10.04,0,0,0,3.37,54.84,0,5.03,0,8.37
 36-46,0,0,0,0,0,0,0,40.48,1.71,4.19,8.06,0,0,0,0,0.83,0,0,0,0,30.51,0,0,7.86,292.56,0.64,0.78,2.15,0,0,4.85,0,0,0,0,52.34,0,1.33,0,0
 48-58,0,0,0,0,2.27,0,0,56.63,0,0.38,26.35,0,0,0.44,1.13,0,0,0,0,1.21,33.21,0,0.63,3.72,329.32,1.03,1.42,0.54,0,0,3.69,0,0,0,0,84.92,0,2.49,0,0
 60-70,0,0,0,0,0.7,0.74,0,171.57,0,1.49,12.67,0,0,0,0,0,0,0,0,0,35.84,0,1.2,5.91,295.31,0,1.78,2.77,0,0,3.47,0,0,0,0,50.4,0,8.14,0,0
 72-82,0,0,0,0,0.82,0,0,120.81,0,0,11.04,0,0,0,0,1.3,0.73,0,0,0,45.47,1.77,0.77,8.51,226.78,0,1.28,1.9,0,0,1.58,0,0,0,0,20.11,0,6.91,2.04,3.06
 84-94,0,0,0,0,7.52,0,0,46.24,0,4.47,8.6,0.96,0,0,0.8,0.6,0.67,4.46,0,5.3,24.53,0,1.58,7.87,137.08,0.67,3.11,6.02,0,0,9.06,0,0,0.64,0,9.25,0,3.51,1.11,0
 96-106,0,0,0.81,0,1.4,2.63,2.48,58.91,0.98,0,10.89,0,0,1.44,2.19,1.95,0,0,0,0,22.53,1.17,0.63,4.81,149.26,0.8,5.95,4.49,0,0.97,14.96,0,0,0,0,0.6,2.79,2.02,2.81,0
108-118,0,0,0,0,9.3,0,0,57.27,1.37,0,6.27,0.94,0,0,0.41,0.42,1.65,0,1.12,0,41.46,0,0,2.46,175.89,0,0.66,5.13,0,0,9.18,0,0,0,0,8.14,0,6.56,1.64,2.87
120,0,0,0,0,2.19,1.99,0,79.5,0,7.8,9.14,0,0,7.76,1.18,3.3,0,14.75,0,0,62.36,0,0,10.02,327.66,0,0,1.76,0,0,3.62,0,0,0,0,0,2.31,2.48,20.98,15.11
