stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,4.28,0,0
 24-34,0,0,0,0,0,0,0,0,1.82,0,0,0,1.43,0,7.49,0,0
 36-46,0,0,0,0,0,0,0,0,8.99,0,0,0,4.18,0,5.66,0,0
 48-58,0,0,2.06,0,0,0,0,0,5.74,0,2.76,0,7.42,0,27.09,0.62,0
 60-70,0,0.57,1.16,0,0,0,1.16,0.58,17.57,0,9.38,13.62,28.45,0,65.21,1.05,0
 72-82,0.78,0,2.9,0,1.79,0,0,0,28.88,0,10.14,0,22.9,0,65.75,0,0
 84-94,0,0,2.53,0,0,0,0,0,27.55,0.83,3.87,0,13.69,5.65,88.21,0,0
 96-106,2.38,0,9.1,1.54,0,0.73,1.91,0,62.54,0,3.85,0.78,8.39,0,114.48,2.07,0.97
108-118,13.88,0,2.06,0,0,0,0,0,34.47,0,1.19,0,19.11,0,71.34,0,0
120,0,0,0,0,1.97,0,0,0,35.99,0,3.88,0,34.97,0,88.32,0,1.54
