stage,axial,blastomeres,eye,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,xanthophores
  3-4,12.66,161.84,0,0,0,0,0,0,0,0,0
  5-6,13.81,70.43,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.41,13.43,0,0,0
 10-12,0,0,0,0,0,0,5.39,13.53,0,0,0
 14-21,0,0,0,0,0,0,5.63,0,0,0,0
 24-34,0,0,0.75,0,0,0,0,0,0.62,0,0
 36-46,0,0,0,0.66,0,0,0,0,0,0,0
 48-58,0,0,1.61,0,0,0,0.72,0,2.66,0,0
 60-70,0,0,0,0,0,0,2.98,0,2.95,0,0
 72-82,0,0,0,0,0,1.13,0,0,0,0.72,0
 96-106,0,0,0,0,0,1.39,2.95,0,0.63,0,0
108-118,0,0,0,0,1.37,0,0,0,0,0,1.16
