stage,epidermis,eye,fast_muscle,glial,mesenchyme,mural_cell,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,8.67,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.85,36.82,18.65,0,0
 24-34,0.6,0.64,13.28,0,0,0,14.2,22.92,0,16.11,38.01,0.94,0
 36-46,0,0.56,35.49,0,0,0,5.34,2.37,0,24.6,0,2.4,0
 48-58,0.51,3.99,20.42,0,0.52,0,8.06,22.99,0,5.98,0,0,0.88
 60-70,0,6.04,4.59,0,0,0,1.6,4.56,0,8.79,0,0.88,0
 72-82,0,0.53,2.53,0,0,0,1.26,0,0,3.16,0,0,0
 84-94,0,0.68,1.55,0.66,0,0,0.59,0,0,1.95,0,0,0
 96-106,0,8.56,6.7,0,1.04,0,0,4.93,0,0.74,0,0,0
108-118,0,3.66,6.7,0,0,1.48,0.52,0,0,5.08,0,0,0.71
120,0,0,9.68,0,0,0,5.56,6.26,0,0,0,0,0
