stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,71.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.75,0,0,3.47,0,0,0,0,0,37.68,14.13,0,18.76,0,0,0,0,0,0,0,0,0
 10-12,0,4.47,0,0,3.81,0,0,0,0,0,0,0,0,45.11,0,0,12.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.76,1.07,0,0,0,0,0,0,1.29,0,0,9.49,0,0,0,0,1.06,0,0.81,3.12,5.81,0,0,0
 24-34,0,0,0,0,0.71,0,0,0,0,0,2.62,0,0,11.26,0,0,0,6.14,0,0,0,0,7.16,0,2.07,0
 36-46,0,0,0,0,1.54,0,0,0,0,0,4.68,0,0.8,10.06,0,0,0,3.59,0,0,0,0,6.89,0,0,0
 48-58,0,0,0,0,7.64,0,0,0,0,0,4.07,0,0,26.89,0,0,0,2.32,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,8.99,0,0,0,0,1.1,2.51,0,1.27,42.66,0,0,0,3.94,0,0,0,0,1.91,0,0,0
 72-82,0,0,0,0,6.88,0,2.89,0,0,0,5.13,0,0,22.9,0,0,0,0,0,0,0,0,1.02,1.34,0,0
 84-94,0,1.01,1.22,0,0,0,4.1,0,2.18,0,5.31,0,2.32,3.93,0,0.88,0,1.83,0,0,0,0,0,0,0,0
 96-106,0,0,0.56,0,3.85,0.57,2.63,0,0,0,3.01,0.59,0,15.38,0,0,0,0.65,0,0.89,0,0,0,0,1.22,0
108-118,0,0,2.19,0,2.84,2.01,1.61,0,0,0,5.5,1.62,0,17.23,0,0,0,0,0,0,0,0,0.45,0,0,1.3
120,0,0,0,0,14.22,0,11.92,0,0,0,4.88,0,2.52,81.12,0,0,0,0,0,0,0,0,0,0,0,0
