stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.39,0,0,0,0,0,0,0,0,63.39,0,0,11.71,0,0,0,0,0,0
 10-12,17.3,0,0,0,0,0,0,0,0,0,0,0,0,48.57,3.17,0,4.9,0,9.31,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0.84,0.83,0,0
 24-34,0,0,0,0,2.6,0,0,0,0,0,0,0.66,1.81,19.52,0,0,0,0,0,0,6.06,0,0
 36-46,0,2.73,0,0,11.65,2.6,0,0,0,0,0,2.51,0,19.2,0,0,0,0.94,0,0,4.09,0,0
 48-58,0,0,0,0,3.37,0,0.57,2.9,0,0,0,0,0.48,14.69,0,0,0,0,0,0,0.75,0,0
 60-70,0,0,0,0,1.8,0,0,0,0,0,0,2.28,0,10.58,1.83,6.8,0,1.45,0,0,1.18,0,0
 72-82,0,0,0,0,8.08,0,0,2.3,0,0,0,3.56,0,7.08,0,0,0,0,0,0,3.93,0.75,0
 84-94,0,0,5.13,0,4.23,0,0,0,0,0.92,0,0.7,0,6.92,0,0,0,0,0,0,0,0,0
 96-106,0,1.41,5.18,0,4.73,0,0,8.5,0,0,0,2.68,0,0,0,0,0,1.07,0,0,1.39,0,1.09
108-118,0,0,0.93,0.66,2.53,0,0,3.99,0,0,0.84,0,0.44,4.04,0,0,0,0.66,0,0,0,0,0
120,0,0,0,0,6.87,0,0,0,2.91,0,0,0,0,32.53,0,0,0,0,0,0,0,0,0
