stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,70.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.79,0,0,0,3.71,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,6.51,0,0,0
 14-21,0,0.81,1.65,0.9,0,0,0,0,0,0,0,0,0,1,6.49,1.89,0,0.81,0.87,2.55,3.06,2.05,5.77,6.6,0
 24-34,0,3.75,0,6.44,0,0,0.77,0,0,0.63,0,2.04,0,4.39,25.03,0.66,0,3.1,0,10.25,0,0,1.51,3.28,0
 36-46,0,0.56,0,1.18,1.62,0,0,0,0,0,0,1.38,0,0,21.69,0,0,0,0,4.75,0,0,0,0.97,0
 48-58,0,0,0,4.44,0,0,1.31,0,0,0,0,0.49,0.66,0,26.06,0,0,0,0,2.88,0,0,0,0,0.43
 60-70,0,0.69,0,6.15,0,0,0,0,0,0,0,1.99,0,0,17.53,0,0,0,0,1.24,0,0,0,2.22,0
 72-82,0,1.62,0,8.29,0,0.49,0,0,0,0,0,3.36,0,0.8,17.77,0,0,0,0,0.72,0,0,0,1.7,0
 84-94,0,1.58,0,3.55,0.62,0.71,0.9,0,0,0,0,0.66,0,0,2.13,0,3.43,1.75,0,4.46,0,0,0,0,0
 96-106,0,2.85,2.12,0.72,0,0,0.99,0,0.6,0,0,1.4,0,0,5.59,0,0.9,0,0,8.23,0,0,0,0,2.45
108-118,0,1.07,0,0,0,0,0.56,0.78,0,0,0.78,2.79,0,0,4.5,0,1.5,0,0,4.18,0,0,0,1.73,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0
