stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.65,1434.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,0,0,0,0,0,0,0
  5-6,138.66,2105.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,9.89,0,9.26,0,0,0,0,0,0,0,0,0,0
  7-9,58.17,61.95,0,57.37,0,6.96,0,95.27,0,0,0,0,0,31.93,0,0,0,0,0,0,0,0,0,0,1163.88,70.28,0,0,389.14,0,0,9.39,0,0,0,0,0,0,0,0,0
 10-12,0,41.73,0,29.18,0,0,0,83.49,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,776.02,74.41,0,0,251.93,0,0,0,4.19,25.05,0,4.33,0,0,0,0,0
 14-21,0,0,0,0.87,22.08,3.48,0,17.07,0,0,0,2.18,0.97,0.98,0,0,0,0,0,0,15.67,0,0,10.39,182.21,6.31,4.35,2.47,2.57,0,3.14,0,14.94,0,20.55,69.96,0,0,0,0,0
 24-34,0,0,0,0.82,12.17,0,0,32.07,0,0.68,0.83,14.24,0,0,0,0,1.25,0,2.85,0.79,28.86,0,0,13,314.09,10.6,1.74,2.63,0,0,1.63,0,0,0,2.86,77.32,0,0,9.98,0,0
 36-46,0,0,0,0,2.83,0.67,0,50.34,2.51,0,0.65,25.96,0,0,0.56,0,0,0.56,0,9.74,28.46,0,0,13.43,368.19,0.62,2.39,3.45,0,0,14.06,0,0,0,0,66.22,0,0,2.03,0,0
 48-58,0.77,0,0,0,1.01,0.85,0,100.4,0,0,3.85,13.94,0,0,0.4,0,0.43,0.41,0,0,31.65,0,0.44,14.29,282.56,0.52,2.98,0.8,0,0,10.49,0,0,0,0,54.68,0,0,2.93,0,0.42
 60-70,0,0,0,0,8.72,1.08,0,114.48,0,0,4.91,16.59,0,0,0,0.63,0.59,0,2.17,0,25.66,0,0,0.65,178.86,1.36,0.6,5.66,0,0,16.47,0,0,2.54,0,48.4,0,0.59,3.28,0.89,0
 72-82,0,0,0,0.75,3.22,10.62,0,110.89,0,0.51,0.6,14.89,0,0,0,1.36,0.52,0,2.39,1.95,54,0,0,1.85,195.11,0,2.66,3.71,0,0,14.38,0,0,0.55,0,22.56,0,3.15,9.57,1.64,0
 84-94,0,0,1.44,0,11.38,5.81,0,72.28,0,1.3,0.75,40.51,0,0,0,0.84,1.33,0,1.66,0,42.03,0,1.73,4.58,119.33,0.58,4.81,0.64,0,0,24.28,0,0,0,0,21.24,0,0,6.09,3.91,0
 96-106,0,0,0,0,12.98,0.98,1.85,40.34,0,0,4.33,26.66,1.6,0,0,1.88,2.38,3.61,1.4,0.71,41.94,3.88,2.21,1.52,102.18,0,0.59,2.67,0,0,26.38,0,0,0,0,10.83,0,0,3.19,0,0.86
108-118,0,0,0,0,4.59,5.61,0,61.33,0,1.69,1.24,16.24,1.52,0,0,11.3,0.46,0.52,0.78,0.66,44.1,0,2.55,1.55,190.45,0,7.31,1.1,0,1.08,12.28,0,0,0,0,2.6,0.58,1.16,2.32,5.77,2.76
120,0,0,0,0,21.37,4.52,0,46.86,2.24,0,3.99,44.73,7.05,0,0,1.75,1.89,5.34,1.34,0,49.94,1.05,0,3.2,155.43,0,0,0,0,0,4.77,0,0,0,0,0,0,8.97,6.58,0,0
