stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.7,54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.86,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.63,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.82,72.96,27.53,2,0,0,0,1.26,2.39,0,0,0,0,0,0,58.03,0,0,40.69,51.85,150.92,0,0,0.82,0,0,5.32,27.86,17.91,30.95,0,26.71,0,1.22
 24-34,0,0,0.65,32.81,7.3,7.21,0,0.82,0.63,2.51,0,0,12.35,0,0.76,1.53,0.67,141.69,0,0.81,69.54,70.35,64.44,0,0,0,0,0,59.22,1.77,3.61,3.46,0,158.89,0,3.67
 36-46,0,0,0,8.69,0,6.28,0,6.02,3.18,3.67,0,0,3.55,0,5.14,0,0,151.77,0,10,70.35,67.33,16.37,0,1.56,0,0,1.04,27,0,0,1.09,2.46,178.87,0,0
 48-58,0,0,0,10.11,0,10.3,3.88,9.19,6.4,3.61,0,0,1.41,0,1.9,1.02,0,203.95,0,18.37,50.4,59.2,5.2,0,0.37,0,0.56,0.41,8.98,0,0,8.34,3.35,237.93,0.5,0
 60-70,0,0,0,5.5,15.48,4.06,0,6.96,7.73,8.9,0,0,0,0,13.22,0,0,202.44,0,75.01,35.03,37.43,10.44,1.95,0,0,18.71,7.96,15.6,0,0,3.84,17.96,228.36,49.66,0
 72-82,0,0,0,1.72,9.29,24.29,11.44,0.5,27.69,18.22,0,0,4,0,14.11,0.79,0,234.91,0.51,65.1,34.79,43.2,0.53,0,2.2,0,7.94,1.86,29.53,0,0,5.02,44.59,425.17,107.26,0
 84-94,0,0,0,2.46,0,30.49,18.92,4.1,28.74,11.64,0,0,4.89,0,12.85,0,0,167.57,0,57.74,21.84,38.62,0.75,0,0,0,16.17,3.8,9.81,0,0,2.11,59.42,420.3,145.28,0
 96-106,0,0,0,3.63,5.17,22.52,30.42,5.75,16.59,51.81,0.73,0,3.99,0.56,34.65,0,0,236.71,0,64.95,25.45,29.76,7.11,0,2.01,0,38.69,0,2.6,0,0,2,46.24,495.26,205.71,7.02
108-118,0.45,0,0.49,8.51,2.09,19.28,14.69,10.28,13.55,29.95,0,2.74,2.79,0,53.16,0,0,211.67,0,42.87,17.86,30.2,2.97,0,0.57,0,51.94,6.61,3,0,0,3.71,29.84,472.77,147.98,5.41
120,0,0,0,6.9,0,9.67,19.93,11.02,7.04,21.73,0,0,18.52,0,29.48,0,0,158.07,0,23.03,12.24,41.47,1.29,0,0,0,26.81,1.14,2.87,0,0,0,69.03,556.75,255.39,0
