stage,axial,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0.82,0,0,0,1.86,0.91,0
 24-34,0,0,0.83,0.62,0,0,0,0,0,0,0.8,0,0,5.44,0,4.43,0,0,0,0
 36-46,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.99,0,0,3.8,0,0,1.62,0.41,0,0,1.43,0,0,0,0,0,0
 60-70,0,0,0,2.62,0,0,0.63,0,0,0,1.8,0,0,3.67,0,0,1.17,0,0,0.72
 72-82,0,0,0,0,0,1.73,0.7,0,0,0,2.6,8.66,0.75,0.6,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,0,2.46,0,0.65,10.08,0,0,0,13.37,0,0,0.58,0,0,1.81
 96-106,0,0,0,0.59,0.84,2.3,6.53,0,0,0,0.59,0,0,0,0.93,0,0,0,0,0
108-118,0,0.49,0,0,0,6.74,1.39,0.78,0,0.94,3.05,0,0,1.79,0,0,0,0,0,0.52
120,0,0,8.6,1.54,0,8.35,1.38,0,0,0,2.09,0,0,3.27,0,0,0,0,0,0
