stage,eye,mesenchyme,muscle,neural,spinal.cord,vasculature,xanthophores
 24-34,0,1.89,0,0.6,4.02,0,0
 36-46,0.81,0,0,0,1.22,0,0
 48-58,0,2.96,7.18,0,0,0.47,0
 60-70,0,3.08,0,0,0,0,4.11
 72-82,0.67,0,0.68,0,0,0,0
 96-106,0,0,0,1.84,0,0,0
