stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,346.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0
  5-6,266.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.02,3.26,0,0,36.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.17,17.69,0,4.95,0,46.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.1,20.77,0,0,92.23,0,0,0,7.35,0,0,0,0,0,0,0,0
 14-21,0,3.39,14.91,4,0,1.9,0,0,0,6.15,2.17,3.08,0,0,1.67,0,0,0,0,2.2,0,0,11.32,45.89,1.25,0,2.81,0.91,0,4.73,4.27,3.9,1.5,6.06,30.11,0,0,2.01,0,0
 24-34,0,0,14.86,0,0,4.59,0,0.82,0,8.68,1.84,1.11,0.82,0,7.94,0.85,0.61,0,0,10.9,0.91,0,8.38,141.01,1.62,8.78,0.95,0,0,25.91,0,2.46,0.6,3.05,61.63,0,0,10.09,0,6.16
 36-46,0,0,3.7,9.35,0,25.8,2.57,0,0.64,9.71,0,0,0.56,0,2.33,0,0,0.66,1.29,24.28,0,0.74,4.58,248.68,0,18.4,2.41,0,0,45.24,0,8.82,0,0,71,0,0,4.14,0,2
 48-58,0,0,1.71,0,0,46.15,1.06,6.54,0,31.1,1.04,0,0,2.48,5.44,2.22,0.38,0,3.73,27.05,0.71,0,2.77,266.74,0,8.73,1,0,0,26.54,0,1.34,0,0,55.98,0,0.51,14.89,0,10.44
 60-70,0,0,0.56,0,0,107.98,1.24,0,2.54,32.49,3.45,0,9.38,0.78,0.58,0,1.34,1.45,0,31.91,0,0.89,4.99,391.24,0,20.44,6.65,0,1.67,29.55,0,8.64,0,0,113.45,0,0,18.57,0.9,0
 72-82,0,0,10.12,0,0,101.89,0,6.5,6.07,38,0,0,4.68,0.65,8.31,0.55,3.57,0,0,84.6,0.58,5.11,4.46,336.67,0,36.53,11.31,0,1.31,20.78,0,1.72,7.13,0,52.25,0.69,1.97,13.13,2.29,7.6
 84-94,0,0,4.6,6.73,2.25,96.05,0.66,0,1.91,27.52,6.39,0,3.35,1.84,2.12,4.49,0.65,1.62,0,53.38,2.01,0,3.67,269.46,0,26.75,4.88,0,0,79.01,0,0.62,1.6,0,50.18,0,2.23,6.65,2.06,0.69
 96-106,0,0,8.74,0,0.71,79.72,3.1,1.48,4.91,30.13,2.16,0,4.73,0,0,7.42,1.35,0,0,33.34,1.65,1.97,2.84,219.03,0,10.24,7.78,0,1.44,29.48,0,2.95,0,0,7.27,0.61,0,25.38,2.17,3.89
108-118,0,0,2.79,4.72,21.73,62.37,0,0,2.36,28.11,3.57,0,1.07,1.68,2.66,9.45,0.43,0.56,6.62,23.44,5.7,1.48,1.82,223.07,1.55,12.42,6.79,0,0,21.26,0,0.53,3.51,0,14.72,0.68,0.6,20.42,0,2.1
120,0,0,6.01,2.55,6.81,55.5,0,0,0,24.33,0,0,1.17,1.18,5.19,5.82,1.77,0,0,33.39,1.49,0,1.1,454.36,0,41.89,8.05,0,0,13.77,0,0,0,0,10.98,0,2.68,6.63,1.45,0
