stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.19,187.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,21.18,38.62,3.79,0,0,40.41,0,0,0,0,0,33.81,0,0,0,0,0,0,0,0,0,0,0,440.42,3.53,0,0,104.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,32.03,0,0,40.08,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,1448.65,10.77,0,0,256.8,0,0,13.87,22.72,0,11.84,9.81,0,0,0,0,0
 14-21,0,0,2.66,349.2,9.81,58.65,0,11.38,0,3.27,15.16,0,0,0,1.04,0,0,0,2.7,33.96,0,0,16.2,645.75,6.46,0,49.97,8.87,0,8.43,191.63,0.87,18.72,215.29,123.64,0,0,2.13,0,4.81
 24-34,0,0,6.25,298.39,2.61,259.06,0,38.01,2.58,12.96,16.54,0,8.39,0,1.88,0.7,0.68,1.15,0,134.15,9,9.48,75.93,1124.83,11.53,4.15,47.42,0,15.6,0.61,1.04,1.62,10.1,100.57,150.87,0,0,1.78,0,5.16
 36-46,0,0,0,189.21,1.12,1395.82,0,74.83,10.89,33.05,9.45,0,43.55,1.83,0,2.64,0.65,0,2.53,389.13,0,104.97,46.15,1010.75,14.36,7.12,35.47,0,6.75,2.08,1.63,0,6.32,4.02,142.85,0,10.09,1.57,0,8.01
 48-58,0,0,0.4,120.42,2.19,1678.45,0,53.43,11.74,37.31,2.68,0,17.05,0.98,0,1.09,10.67,0,6.61,361.42,0,100.88,41.81,550.09,6.03,0.88,36.57,0,3.44,0.85,0,0,2.81,0,59.71,0,3.27,6.26,4.56,16.53
 60-70,0,0,0,152.37,0,933.06,0.58,73.69,6.74,19.45,1.28,0,18.04,0.8,2.04,0,13.59,0,0,361.05,0.85,56.45,17.08,239.42,0,0,46.39,0,9.23,1.27,0,0,2.12,0,32.93,0.81,8.15,0,0,6.08
 72-82,0,0,0,135.58,1.97,366.2,0.55,70.65,6.09,23.95,0.66,0,33.45,6.42,1.06,0.67,8.83,0.62,0.9,525.04,0,129.61,27.89,155.95,0,0,112.13,0,26.87,2.31,0,0,0,0,11.84,11.18,26.99,4.68,23.36,21.9
 84-94,0,0,1.04,157.12,0.83,375.41,0,91.72,9.86,29.97,0.98,0,26.3,13.9,9.75,2.31,13.68,0,1.11,329.88,0,131.26,21.28,119.01,0.71,7.25,94.66,0,19.84,3.21,0,1.31,0,0,1.5,18.35,40.33,4.74,42.27,11.38
 96-106,0,0,0,234.59,4.89,289.02,0,142.44,1.27,29.46,8.34,0,27.83,13.38,3.46,1.25,19.37,1.45,7.05,339.96,2.03,66.7,11.98,155.88,0,21.81,127.39,0,35.48,7.96,0,0.88,0,0,3.2,96.75,32.02,6.93,41.6,48.52
108-118,0.66,0,0,277.49,3.06,188.54,0,183.49,9.16,53.35,3.32,0,18.14,30.62,20.88,25.69,20.15,0,4.78,215.12,0,68.53,6.78,152.03,0,10.05,132.77,0,62.99,8.57,0,3.33,0,0,4.43,87.64,35.79,0.5,14.82,145.12
120,0,0,0,220.77,0,106.43,0,189.44,0,32.56,1.26,0,14.23,14.3,1.05,3.18,29.24,1.37,1.33,233.47,2.82,50.46,24.12,189.5,0,32.73,146.14,0,29.05,7.24,0,0,0,0,11.17,59.07,13.08,1.72,22.34,18.2
