stage,axial,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  7-9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.75,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,6.68,0,0,0,0,0,0,0
 14-21,0,0,0,8.48,0,0,0,0,0,0,0,1.02,0,16.12,0,0,0,0,0,0,2.37,0,0,1.88
 24-34,0,0,0,14.47,1.1,0,0.66,0,0,0,0,0,0,75,1.55,0,0,0,0,0,47.52,0,0,11.62
 36-46,0,0,0.63,51.63,0,0,3.25,0,0,0,0,0.99,0,119.92,0,0,0,0,0,0.63,125.14,0,0,16.23
 48-58,0,0,0.39,48.46,0,0,15.06,0,0,0.43,0,1.08,0,257.46,0.64,0,0,0,0,0,90.87,0,0,19.96
 60-70,0,0,4.22,32.83,0,0,21.03,0,0,0,0,1.15,0,383.29,3.7,0,0,0,0,0,57.12,0,0,8.64
 72-82,0,0,1.98,49.27,0,0,10.23,0,0,0,0,2.62,0,514.98,1.1,0,0,0,0,0,50.65,0,0,5.83
 84-94,0,0,5.79,47.31,0,0.86,17.15,0,0,0,0,7.98,0,386.88,3.63,7.38,0,0,2.94,0,6.97,0.66,1.11,4.02
 96-106,0,0,11.16,54.36,0,0,22.38,0,0,0,0,17.63,0,294.54,2.46,9.16,0,1.54,2.42,0,14.61,0,0,3.62
108-118,0,0,8.72,47.24,0,0,14.69,3.23,0,0,2.95,15.04,2.19,416.77,2.02,0.44,0,0,1.6,0,9.5,1.7,0,2.17
120,0,0,15.25,20.75,0,0,20.36,0,8.38,0,0,29.96,0,626.7,0,0,0,0,4.64,0,40.85,0,0,0
