stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,97.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0
  5-6,346.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,15.37,0,0,0,0,0,0,0,0,0,0
  7-9,10.7,0,3.95,0,0,27.46,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,127.38,9.03,0,0,60.79,0,8.05,6.96,0,0,0,0,0,0,0,0,0
 10-12,33.21,0,9.78,0,0,17.31,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,672.94,14.88,0,0,101.51,0,0,0,0,14.27,0,4.47,0,0,0,0,0
 14-21,0,1.23,0.83,17.83,2.91,11.72,0,0,9.7,0,0,0,0,1.17,0,0,0,2.57,0,0,2.62,272.2,0.82,6.28,0.94,2.62,0,5.88,1.54,16.57,1.22,2.65,102.35,0,0,0,0,0
 24-34,0,1.05,0,7.43,0,34.62,0,0,27.39,0,0,0,0,1.18,0,0.78,0,12.5,0.7,0,3.68,758.46,0,54.45,4.36,0,0,1.27,0,0,0.7,5.65,207.05,0,0,0.69,0,0
 36-46,0,0.73,0,2.16,1.06,165.68,0,0,18.28,0,0,0,0,0,2.15,0,0,8.82,0,0,2.38,1257.96,0.58,54,0,0,0,0.93,1.51,0,0,0,400.68,0,0,0.56,0,5.04
 48-58,0,0,0,1.88,0,309.78,0.63,0.43,37.91,0,0,0.69,0,0,4.19,0,0,19.97,0,1.25,4.19,1733.76,0.47,39.61,1.25,0,0.47,7.13,0.56,0,0.73,0,398.64,0,0,0,0,1.09
 60-70,0,0.6,0,0.71,0,514.25,1.95,0,35.96,0,0,0,2.57,0,0,1.57,1.41,17.98,1.27,0,1.09,2007.35,0,41.99,1.42,0,0,9.89,0.85,0,0,0,331.85,0,0,0.71,0,10.66
 72-82,0,3.04,0,10.7,6.95,567.1,0,6.59,31.52,0,0,0,0,0,4.74,4.45,0,42.74,0,0,3.79,1613.87,0,64.03,4.07,1.13,0,2.9,0.56,0,1.15,0,173.72,1.68,0,1.58,0.61,1.14
 84-94,0,2.42,1,11.06,0,524.68,0.56,7.71,47.7,0.57,0,0,0,0.72,0.67,1.23,2.65,25.51,0,0,4.53,1194.45,0,37.34,7.74,0,0,12.67,0,0,0,0,96.13,0,1.91,0.64,0.62,0
 96-106,0,2.04,0,7.82,24.04,501.02,9.05,0,28.12,1.38,0,0,1.43,0.61,0.95,9.55,10.68,8.77,2.17,0,0,926.13,0,64.59,4.31,0,0,7.32,2.03,0,0,0,38.75,0.71,1.3,4.28,0,0
108-118,0,2.2,0,18.67,10.16,389.87,0.47,4.36,30.28,0.66,0,1.35,0,3.02,0,1.5,1.79,27.9,0.91,5.44,1.54,1478.87,0,39.47,7.96,0,0,14.15,1.64,0,0,0,55.64,10.63,0,2.55,0,0
120,0,3.01,0,10.73,0,449.2,1.33,0,41.66,0,0,0,6.59,0,6.33,1.54,0,37.06,0,0,0,1985.98,1.17,37.61,10.03,0,0,2.51,0,0,0,0,41.5,3.87,0,0,0,0
