stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,275.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,237.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0
  7-9,6.78,7.28,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.77,0,0,47.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,21.02,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,193.6,20.01,0,62.59,0,0,12.51,0,18.71,0,3.11,0,0,0,0
 14-21,0,0,2.57,21.6,2.79,6.68,0,0,0,2.32,0,0,0.97,0,0,40.99,0,0,20.22,74.07,17.79,0,0,0,0,0,10.04,1.66,2.15,5.69,42.99,2.28,0,0
 24-34,0,0,1.25,3.91,0.76,9.98,0.71,0,0,0.9,1.17,0,0,2.48,0,28.77,0,0,10.49,73.83,39.05,0,0,0,0,0,0,0,0.99,1.27,51.31,7.19,0,0.86
 36-46,0,0,0,1.2,0,30.67,2.46,0,1.2,0,0,0,0,1.8,0,9.62,0,0.55,2.14,52.48,53.76,0.78,0,0,0,0,0,0,1.16,0,34.73,4.21,0,0
 48-58,0,0,0,0,0,49.88,0,0,2.46,0,0,0,0,0,0.5,5.64,0,1.03,2.01,24.17,20.95,0,0,0,1.39,0,0,0,0.93,0,16.39,0,0,2.34
 60-70,0,0,0,0,0,63.55,0,0,1.24,0,0,0,0,0,0,3.53,0,0,4.11,12.28,11.28,0,0,0,0,0,0,0,1.45,0,0.62,0,0,0
 72-82,0,0,0,0,3.9,29.67,2.09,0.68,3.96,0,0,0,0,0,0,2.6,0,0,1.23,6.79,1.95,0,0,2.75,0,0,0,1.41,0,0,0,0,0,0
 84-94,0,0,0,0,0,98,0,1.26,0,0,0,0,0.56,0,0,0.76,0,0,2.39,10.18,1.76,0,0,0,0.68,0,0,1.2,0,0,0,0,0.74,0
 96-106,0,0,0,1.01,0,112.41,0,0,0,0.66,2.33,0,0,10.79,0,2.93,1.74,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.46,0,140.04,0,0,1.56,3.25,0,0.65,0,0.7,0,2.21,0,0,4.47,13.11,0,0,0,0,0,0,0,3.61,0,0,0,0,0.66,0
120,0,0,0,0,0,41.83,0,0,1.87,0,0,0,0,0,0,7.64,0,2.08,0,15.54,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0
