stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,2.47,0,0
 24-34,0,0.91,0,0,0,0,0,0,0,0,0,0,21.23,3.83,0,0,13.61,0,0
 36-46,0,7.11,0,0,0,0,0,0,0,0,0,0.85,49.07,0,0,0,9,0,0
 48-58,0,16.97,0,0,0,0,0,0,0,0,0.47,0,58.81,2.71,0.82,0,18.36,0,0
 60-70,0,83.92,0,0,9.06,1.77,0,0,0.77,0,1.3,1.02,139.44,1.19,4.08,0,21.32,0,5.91
 72-82,0,123.9,0,0,0,5.46,0,0,0,0,3.33,0,91.94,4.08,4.46,0,12.79,1.9,0
 84-94,0,45.29,0,0,0,6.79,0,0,1.91,0,0.96,0,76.43,8.89,1.23,0,7.09,0,0
 96-106,0,75.6,0.78,0,0,4.37,0,0.86,5.02,9.42,1.94,0,29.33,0.59,1.63,0,6.5,0,0
108-118,2.88,74.95,0,1.29,0,9.2,0.89,0.71,1.35,0,0,0,72.53,1.28,0.72,0.61,12.71,1.17,0
120,1.69,85.83,0,0,0,10.37,2.27,0,1.77,0,0,0,124.65,6.75,6.35,0,12.43,0,0
