stage,erythrocytes,eye,fin.mesenchyme,mesenchyme,neural,spinal.cord
 48-58,0,0.49,0.41,0,0,0
 60-70,0,9,0,0,0,0
 72-82,5.75,53.95,0,0,0.62,0
 84-94,5.35,19.42,0,0,3.64,10.45
 96-106,1.56,25.19,0,0,0,0
108-118,0,9.82,0,4.77,0,0
120,0,42.11,0,0,0,0
