stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,166.52,4115.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.8,2640.83,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.87,7.94,0,0,26.3,16.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.22,32.19,0,55.86,0,0,0,86.32,0,0,0,0,0,51.87,0,0,0,0,0,0,0,0,0,0,0,1329.42,56.82,0,0,332.5,0,13.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.28,0,99.38,0,7.8,0,95.94,0,0,0,0,0,19.41,0,0,0,0,0,0,0,0,0,0,0,1203.77,49.23,0,0,321.15,0,0,3.57,39.22,0,7.22,0,0,0,0,0,0
 14-21,0,0,0,8.97,44.82,4.8,0,11.6,0,0,0,8.68,1,8.28,0,0,2.63,0,0,1.15,0,25.16,0,0,10.04,247.83,14.35,1.13,2.1,1.74,10.63,0,40.71,4.01,4.14,46.59,89.98,0,0,8.3,0,0
 24-34,0.88,0,0.75,0,21.7,0.76,0,24.7,0,2.1,0,6.51,1.46,0.67,2.84,0.65,2.25,0,1.25,0.66,2.97,38.84,1.69,0,12.71,455.77,3.82,11.64,9.3,0,30.08,0,0,2.47,2.11,6.96,131.37,0,0,17.31,0,5.64
 36-46,0,0,0,0,8.79,0.88,0,47.46,0.59,0,0,43.61,0.59,0,2.47,3.86,3.53,4.19,0.6,3.96,0,39.38,0.72,0,12.78,658.54,4.12,10.16,0,0,20.22,0.81,0,13.41,0,0,195.75,0,0,13.08,0,1.31
 48-58,0,0,0.46,0,7.02,0.44,0,132.81,0.68,0.85,6.46,79.4,0.56,0,0.67,1.83,0.49,0.4,0.51,3.35,7.75,62.24,0.57,9.8,8.01,538.07,3.06,11.01,1.87,0,25.17,0,0,2.16,1.31,0,142.52,0,0,15.98,0,18.31
 60-70,0,0,0,0,5.88,1.89,0,203.14,0,0.79,2.35,102.19,0,0,2.23,5.19,2.06,4.88,1.51,0,7.72,55.35,0.67,7.7,9.78,617.52,3.26,11.17,1.51,0,44.45,0,0,1.85,2.06,0,121.56,0,3.26,19.79,0,11.55
 72-82,0,0,1.46,0,16,29.03,0,312.52,1.37,2.94,7.94,194.41,2.38,0,1.64,1.23,0.7,10.5,2.95,3.85,0,107.03,1.36,1.12,7.75,660.91,0.66,5.88,5.3,0,19.6,0,0,1.26,0,0,79.33,1.59,4.31,39.46,2.93,9.16
 84-94,0,0,3.35,0,23.89,9.47,0,231.96,0.76,5.47,5.23,88.66,7.27,5.6,1.16,2.86,8.7,0.97,1.05,0.69,9,118.39,7.63,2.17,7.37,346.8,1.94,3.8,13.59,0,70.64,0,0,3.1,0,0,73.29,0,1.37,47.81,4.86,6.69
 96-106,0,0,1.22,0,14.8,14.75,3.77,280.3,2.98,0.59,8.97,114.97,19.2,0,7.76,2.02,7.21,12.79,2.29,7.66,1.35,83.41,4.78,0.69,3.45,415.66,0.57,13.77,15.96,0,45.79,0,0,0,0,0,16.82,0,4.43,48.66,12.46,0.8
108-118,0,0,0.54,0,34.64,4.4,1.4,258.14,0,3.28,1.75,144.44,7.9,0,0,5.84,3.31,1.57,9.81,8.97,0,87.96,5.38,9.25,6.83,624.86,5.1,9.71,22.05,0,25.74,0,0,0.54,3.33,0,23.74,1.43,4.53,32.67,3.72,16.34
120,0,0,2.94,0,68.05,11.35,7.01,270.2,1.61,19.66,3.48,182.88,14.61,0,0,6.85,4.11,12.39,0,2.56,4.02,128.5,0,0,7.63,889.27,5.82,25.44,22.94,0,37.14,0,0,4.29,0,0,42.07,0,18.5,53.83,23.46,0
