stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,17.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.91,0,0.95,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.71,6.78,0,0,0,0,0.92,0,1.11,85.78,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,2.41,0,0,0,1.3,0,0,0,0,0,0,0,0,0,3.05,0,0,1.95,991.83,14.93,0,0,0,0.94,0,0,0,323.22,0,0,1.69,0,0
 36-46,0,0,0,3.03,0,0,67.66,0,0,0.57,5.02,0,0,0,0,0,0,0,0.57,8.41,2.08,0,0,2.5,3712.48,30.93,0,0,0,1.46,0,0,0,723.25,0,0,4.43,0,3.59
 48-58,0,0,0,5.81,0,0,429.07,3.19,4.63,1.78,38.54,0,0,0,4.65,0,0,0,0,7.9,10.46,0.5,0,3.62,4397.54,10.44,3.44,0,0,5.97,0,0,0,809.4,0,0,4.07,0,4.97
 60-70,0,0,0,3.64,0,0,1972.04,3.1,0,0,60.36,0,0.66,0.84,5.81,0,0,0,4.81,0,36.56,1.1,0,3.84,6407.15,5.44,0,0,0,12.29,0,0,0,925.23,0,1.32,0.68,0,0
 72-82,0,0.95,0,12.8,1.47,0,1744.26,0,0,2.98,74.62,0,0,1.07,0,0,0,2.88,1.61,2.32,50.7,0,0.49,2.34,4693.03,10.7,2.61,0,2.48,2.77,0,2.68,0,596.04,0,1.46,9.48,0,14.54
 84-94,0,2.12,0,19.28,6.09,0,1146.17,0,0,0.69,71.79,0,0,2.3,1.31,0.69,2.09,0,0,5.31,44.25,0,2.03,2.12,3044.67,10.27,0,0,0,8.96,0,0,0,443.61,0.61,0,0,2.93,0
 96-106,0,0,0,22.24,0.69,9.83,1080.19,0.94,1.17,0,52.59,1,0,0.73,2.55,0,1.38,0,6.54,0.69,30.83,0,0,1.97,2492.48,22.63,0.93,0,0,14.64,0,0,0,152.81,0,0,3.45,0.65,14.03
108-118,0,2.65,0.89,22.24,3.93,7.19,983.07,0.54,0,0,41.43,3.18,0,0,2,0,5.25,0,0,4.51,35.42,0,1.6,0,3287.33,28.86,0,0,0,6.23,0,0,0,189.1,2.93,0,2.04,0.65,0
120,0,9.35,0,30.48,11.48,3.69,726.85,1.99,0,0,51.38,0,0,0,0,0,6.33,0,14.5,0,28.37,0,13.87,2.28,3363.62,14.4,0,0,0,0,0,0,0,66.86,0,0,4.29,0,0
