stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.1,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,109.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.05,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0
  7-9,6.37,8.78,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,136.1,0,0,0,42.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,30.26,0,0,0,0,0,0,0,0,0,165.43,0,0,0,62.1,0,0,3.38,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,1.03,0,2.26,0,2.56,0,0,0,0,0,0,3.08,22.54,0,1.37,0,0,0.89,0.87,0,0,1.11,12.26,0,0,0,0
 24-34,0,0,0,0,0,0,3.02,0,0.78,0,0,0,0,9.2,0,1.57,21.79,0,1.25,0,0,3.62,0,0,0,0.61,3.52,0,0,0.85,0
 36-46,0,0,0,0,0,0,7.93,0,0,1.34,0,0,0,8.67,0.67,0,28.43,0,0,0,0,0.58,0,1.94,0,0,12.03,0,0,0,0
 48-58,0,0,0,0.45,0,0,9.97,0,2,0,0,0,0,5.56,1.01,1.56,34.5,0,1.63,0,0,0,0,0,0,0,2.93,0,0,0,0
 60-70,0,0,0,1.15,0,0,12.91,0,5.39,0,0,0.72,0,5.75,0,2.09,31.36,0,1.29,0,0,6.72,0,0,0,0,6.59,0,0.82,0.57,0
 72-82,0,0,0,1.37,0,1.86,6.55,0,2.99,0.87,0,0,0,5.18,0.63,0.7,27.59,0,0,0,0,0,0,0,0,0,4.16,0.53,0,4.72,0
 84-94,0,0,0,3.51,0,0,10.49,0,3.71,0,1.58,0.9,0,5.52,0.81,0,14.61,0,0,0,0,0,0,1.09,0,0,4.92,0,0,6.52,1.21
 96-106,0,0,0,1.68,3.78,0,20.79,1.26,1.78,0,0,0,0.6,7.42,0,2.72,21,0.68,0,0.74,0,0,0,0,0,0,1.99,0,1.65,4.61,0
108-118,0,0,0,0.86,0,0,8.41,1.16,1.44,0,0,0,0,12.49,0,0,33.99,0,0,0,0,1.71,0,0,0.47,0,0.72,0,0,8.41,0
120,0,0,0,0,0,0,23.67,0,20.94,0,0,0,0,33,0,3.16,75.29,0,5.37,8.58,0,1.53,0,0,0,0,0,0,0,0,0
