stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,4.3,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.23,0,0,0,0,4.38,0,0,0,0,0,0,0,42.78,0,0,0,12.17,0,0,0,0,0,0,0
 14-21,0,0,4.45,0,0,0.92,0,0,1.84,0,0,0,0,0,1.1,0,0,3.56,15.87,2.44,0,0.91,0,1.01,3.48,8.33,0,0,0,0
 24-34,0,0.71,0.71,0,0,8.98,0.7,0,0,0,0,7.23,0,0,1.04,0,0,2.45,35.4,0,2.52,0,0,0,1.39,5.05,0,0,0.73,0
 36-46,0,0,1.92,0.72,0,4.96,0,0,1.89,0,0,0,0,0,4.32,0,0,2.08,37.62,0,0.64,0,0,0.94,0,15.1,0,0,2.69,0
 48-58,0,0,4.52,0,0,22.64,0.92,0,7.67,0,0,0,0,1.27,4.05,2.57,0,0,43.31,0,0.71,0.51,0,0.4,0,8.66,0,0,0.81,1.32
 60-70,0,0,1.42,0,0,27.68,0,0,5.02,0,0,0,0,0,2.27,0,3.79,0,22.99,0,0,0,0,6.86,0,2.2,0,0,0,0
 72-82,0.87,0,1.2,0.55,0,27.18,0,0,2.76,0,0,0,0,1.05,7.07,0,0.87,3.93,70.88,0,0,1.36,0,0,0,2.31,1.69,0,3.52,0
 84-94,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,3.57,0.62,0,2.29,2.61,0,0,0,0,2.49,0,0,0,0.74,1.75,0
 96-106,0,0,2.24,0,0.84,10.57,0,0,0.61,0,0,0,0,0,14.09,0,0,2.97,4.01,0,0,0,0,0,0,0,0,0,1.43,0
108-118,0,0,3.53,1.33,0,6.56,0.59,1.22,0,1.59,0,1.25,0.86,0,6.78,0,0,3.27,19.2,0,0,0,0,1.92,0,0,0,3.52,4.1,0
120,0,0,10.51,1.22,0,0,1.16,0,0,0,0,2.34,0,0,0,0,0,2.81,67.43,1.28,0,0,0,0,0,6.72,0,0,14.37,0
