stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,240.06,4311.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.41,0,0,0,0,0,0,0,0
  5-6,97.03,2857.75,10.49,0,0,0,0,0,11.32,0,0,0,0,0,0,0,144.38,9.37,0,34.66,58.39,0,0,0,0,0,0,0,0
  7-9,33.93,59.07,10.13,0,118.74,0,0,0,8.81,0,0,0,0,0,0,0,969.3,44.08,0,312.92,7.91,15.74,0,0,0,0,0,0,0
 10-12,0,0,13.72,0,85.12,0,0,0,0,0,0,0,0,0,0,0,284.11,13.99,0,145.84,0,10.79,0,3.9,0,0,5.09,0,0
 14-21,0,0,1.67,17.88,0.87,0,0,0,0,0,0,0,1.36,2.53,6.13,0.9,16.32,3.5,0,0.88,0,1.23,3.95,2.38,5.13,3.72,7.72,0,41.41
 24-34,0,0,0,0.77,9.3,0,0,0.69,0,0,0,0.76,0,1.62,15.36,2.79,32.58,0,0,0,3.86,0,0,11.82,0,0,2.57,0,119.37
 36-46,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,12.19,0.9,2.67,26.86,0,0,1.43,0,0,8.09,0,0,1.66,0,11.3
 48-58,0,0,0,3.3,4.02,0,0,0,0,0,0,0,0,1.95,30.09,0.63,7.15,0,0.6,0,0.76,0,0,17.31,0,0,0,0,0
 60-70,0,0,0,0.71,0,0,0,0,0,0,0,1.16,0,0,20.82,0,2.51,0,0,0,0,0,0,5.5,0,0,0,0,0
 72-82,0,0,0,1.08,0,0,0,19.52,0,1.6,0.71,0,0,0,13.37,2.35,8.79,0,0,0,0,0,0,16.14,0,0,0,0.91,0
 84-94,0,0,0,0,1.02,0,0,6.01,0,0.78,0,0,0,0,8.21,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0
 96-106,0,0,0,1.33,0,0,0,2.42,0,0,0,0,0,6.59,2.65,0,6,0,0,0,0,0,0,27.23,0,0,0,0,0
108-118,0,0,0,0,1.1,0.7,0,1.64,0,2.64,0,0,4.98,0,4.49,1.6,0.66,0,0,0,0,0,0,2.95,0,0,0,0,0
120,0,0,0,2.51,0,0,3.63,0,0,0,0,0,0,0,3.23,0,3.92,0,0,0,0,0,0,8.45,0,0,0,0,0
