stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.67,67.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.45,58.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0
  7-9,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.56,5.52,0,0,17.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.27,0,0,6.74,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,77.18,0,0,0,44.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.12,5.32,3.46,0,0.88,0,0,0.81,0,0.96,0,0,0,0,0,0,6.23,0,6.84,18.54,1.13,0,0,0,0,4.26,1.66,3.28,0,21.18,0,1.86,0,0
 24-34,0,0,0,0.76,6.59,0,6.99,0,0,0,1.43,0.82,0,0,5.02,0,0.64,0,0,1.83,7.65,0,5.25,97.58,0,1.7,0,0,0,0.97,0,2.48,0.75,19.96,0,15.26,0,2.72
 36-46,0,0,0.85,0,0.82,0,10.1,0,0,0,4.39,0,0,0.84,23.52,0,0,0,0,1.47,7.87,0,0,100.5,0,0.86,18.32,0,0,4.36,0,1.16,0,30.62,0,9.34,0,0
 48-58,0,0,0,0,0.8,0.42,14.12,0,0.49,0.82,11.46,0,0,1.02,40.19,0,0,0.48,0,1.26,25.96,0,0.44,129.04,0.38,2.19,0,0,0,1.4,0,0,0,22.41,0,4.07,0,4.74
 60-70,0,0,0,0,0,0,43.37,0,0,2.52,8.99,0,0,0.77,64.24,0,0,0.79,0,10.23,19.55,0,0,102.97,0,0,3.57,0,0,4.06,0,0,0,6.21,1.31,4.63,0,0
 72-82,0,0,0,0,1.62,4.25,33.74,0,6.12,4.58,4.21,0,0,1.57,27.29,0,0,0.49,0,0,24.18,0.88,0.57,95.8,0,0,0.78,0,2.14,0,0,0,0,13.73,0,4.11,0,4.75
 84-94,0,0,0,0,5.45,0,5.69,1.33,1.46,0,6.44,1.01,0,0,41.94,0,0.87,0,0,1.19,13.67,3.64,1.08,71.95,0,0,0,0,0,4.68,0,0,0,1.36,2.6,7.28,0,0
 96-106,0,0,1.68,0,5.2,0,19.52,0,0,0.57,0,0,0,4.16,54.93,0.56,1.02,0,0,0,21.97,0.8,0,90.38,0,1.65,0,0,0,10.75,0,0,0,0,3.82,13.4,0.74,6.9
108-118,0,0,0.54,0,2.3,0.61,27.28,0,1.41,0,1.39,2.67,0,0,59.17,2.59,4.13,0,1.7,0.97,8.6,0.91,0,100.8,0,3.44,0,0,0,1.91,0,0,0,0,0,10.75,0,2.05
120,0,0,0,0,0,0,28.64,0,0,0,9.55,3.12,0,0,110.13,0,2.62,0,0,0,2.76,2.47,0,320.65,0,1.15,0,0,0,5.39,0,0,0,0,0,23.73,0,4.69
