stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,87.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,204.24,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.58,0,0,14.94,0,0,11,0,0,0,0,0,0,0,222.34,4.27,0,0,74.93,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,92.11,0,0,0,8.36,0,0,0,0,0,0,0,0,0
 14-21,0,4.28,0,0,0,0,0,0,0,0,0,0,0,2.12,6.31,0,0,0,0,0,1.83,0,0,0,2.1,0,0,0
 24-34,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0.72,25.72,3.77,0,0,0,0,0,0.75,1.54,1.38,4.46,0,0,0
 36-46,0,2.73,0,4.48,0,0,0,0,0,0,0,10.1,0,4.3,22.91,4.25,0,0.65,0,0,0,0,0,0,1.94,0,0,0
 48-58,0,0.43,0,5.23,0.38,1.64,0,0,0.46,0,0,21.85,0,0,10.08,0,0,0,0,0,0,0,0,0,1.46,0,0,0
 60-70,0,0,0,9.49,0,0.76,0,0,0,0.78,0,21.18,0,0,15.15,0,0,0,0,0,0,0,0,0,1.5,1.82,0,0
 72-82,0,0,1.16,9.75,0,0,0,0,0,0,0,20.77,0,0,31.88,2.81,1.23,0,0,0,0,0,0,0,2.79,0,0,2.09
 84-94,0,3.94,10.64,1.55,0,0,0,0,0,0,0,2.45,0,0,2.3,4.49,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,3.42,0,1.01,0,0,0,0,0,0,0,0,0,0,33.07,0,0,0,0,2.49,0,0,0,0,0,0,0.86,0
108-118,0,4.17,0.43,0,5.1,0,0,3.42,0,0,1.1,7.32,1.87,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,11.28,2.29,14.14,1.05,5.6,0,0,0,0,0,4.65,0,0,18.7,1.08,0,0,0,0,0,0,0,0,0,0,0,0
