stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.34,0,0,0,0,3.57,0,0,0,0,0,0,0,0,12.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0.89,0,1.13,0,0,0,14.8,0,0,0,0,1.01,15.63,0,0,0,0
 24-34,0,3.71,0,2.34,0,0,2.67,0,0,0,0,0,0,0,0,0,66.44,0.96,0,2.19,0,0,10.81,0,0,0,0
 36-46,0,10.75,0,0.63,0,0,1.48,0,0,0,0,0,0.68,0.63,0,0,185.22,0,0,0,0.56,0,19.59,0,0,0.71,0
 48-58,0,1.85,0,14.77,2.33,0,2.89,0,0,0,0,0,2.36,0.52,0,0,344.43,0,0,0.38,0,0,41.82,0,0,0,0
 60-70,0,6.62,0,95.36,0.64,0,11.64,0,0,1.9,0,0,4.56,0.73,1.19,1.15,678.38,0,0.77,0.94,0,0,72.62,0,0,0.68,0
 72-82,0,3.67,0,157.74,0.55,0,16.95,0,0.87,0,0,0.79,0.52,0,0,0,705.87,0,0.75,3.16,0,0,28.55,0,0,5.21,0
 84-94,0,8.56,0,88.78,0,0.67,17.85,0,0,0,0.78,0,1.62,0,0,0,409.02,0.56,0,0.61,0,0,37.05,0.71,1.17,4.06,4.12
 96-106,0,20.62,0,58.51,1.25,0,16.85,0,0,0,0,0,4.91,1.85,0,0,370.84,0,0,4.44,0,0,14.04,0,0,5.44,0
108-118,0,14.24,0,54.23,1.58,0,16.43,0,0,0,0,0,3.26,0,14.42,0,409.27,0,0,0.58,0,0,15.09,0,1.3,5.36,1.9
120,0,19.19,0,92.09,0,0,21.52,0,3.84,0,0,0,4.92,0,0,0,447.33,0,0,0,0,0,0,0,0,2.19,0
