stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,3.64,0,0,0,44.1,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,151.51,16.36,0,0,14.89,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.51,0,0,0,32.52,0,0,8.7,0,4.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.32,3.57,0.93,1.16,0,0.95,0,0,0,0,0.83,0,0,0,0.94,9.03,0,0,0,61.46,5.18,0,0,3.25,0,0,0,6.24,0,1.53,2.99,15.63,0,0,3.46,0,0
 24-34,0,0,0,6.99,0.62,11.38,1.06,0,0.89,0,0,0.67,0.69,0.65,0,1.83,0,1.33,23.9,0,0,5.02,196.71,0,1.62,0,0,0,2.9,0,0,1.62,0,0,26.54,0,0,9.61,0,0.78
 36-46,0,0,0,0,0,21.55,0,2.19,8.26,0,1.6,0.99,0,0,0,0,0,0,18.57,0,0,2.46,143.4,0,0.57,0,0,0,7.74,0,0,0,0,0,24.45,0,0,8.26,0,0
 48-58,0,0,0,0.83,0.63,40.58,2.1,1.2,12.41,0,0,0.6,0,0,0.39,1.41,0,0.58,20.02,0,0.6,5.24,139.93,1.58,3.18,0,0,0,0.63,0,0,0,0,0,34.3,0,0.44,6.1,0,1.49
 60-70,0,0,0,2.12,0.79,93.5,0,0.62,31.81,0,0,0,7.36,0,0,0,0,0,32.74,1.01,5.65,1.56,171.37,0,0,0,0,0,0.94,0,0,0,0,0,27.87,0,0.61,3.36,0,1.18
 72-82,0,0,0.68,8.05,8.33,66.68,4.29,2.11,32.68,1.85,0,0,2.77,0,0,2.71,0,0,62.68,2.58,0,2.1,173.99,0.55,1.64,1.64,0,3.26,0.94,0,0,1.26,0,0,24.53,0,2.64,10.12,1.44,0.89
 84-94,0,0,1.29,1.81,9.23,45.72,7.81,0,15.34,6.7,0,1.78,3.47,0,0,0,0,3.35,41.85,0,1.71,4.1,99.3,0,2.85,2.29,0,0,6.51,0,0,1.3,0,0,30.88,0,1.5,2.79,0,0
 96-106,0,0,0,8.72,5.38,17.23,2.46,0.71,40.36,3.49,0,0.61,9.19,1.46,0.76,2.09,0,0.75,39.72,0.81,1.25,3.42,84.34,0.57,3.3,5.2,0,4.26,11.3,0,0,0.77,0,0,6.43,4.5,1.81,8.71,5.35,1.78
108-118,0,0,1.86,5.51,11.84,25.31,1.5,4.41,23.78,0.51,0,0,3.47,0.65,1.18,5.26,1.29,1.18,66.26,0,0,4.22,143.12,0,4.87,4.19,0,0,10.05,0,0,2.48,0,0,11.22,0.47,0.75,4.27,1.02,0
120,0,0,0,10.93,1.87,55.44,0,12.08,34.19,1.26,0,0,19.54,1.76,1.18,2.12,4.9,0,51.64,0,2.58,6.91,164.92,0,0,2.3,0,2.67,5.16,0,0,0,0,0,2.78,0,0,44.21,8.03,0
