stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,hatching_gland,heart,lateral_line,neural,olfactory,periderm,pronephros,xanthophores
  5-6,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.01,0,0,0,0,0,0,0,3.71,0,0,0,0
 10-12,0,0,0,0,0,0,3.5,0,0,5.92,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.66,0.68,4.58,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,13.78,0,0
 48-58,0,0,0,0,0.38,0,0,0,0,0,0.47,5.06,0,0
 60-70,0,0,2.34,0,0,0,0,0,0,1.64,0,5.32,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.79,5.38,0,0
 84-94,0,0,0,2.02,0,0,0,0,1.05,0.86,0,9.79,0,1.57
 96-106,0,0,0.56,0,0,0,0,1,0,0,0,2.97,0,0
108-118,0,0,0,0,0,0,0,0,0,0.71,0,5.83,0,0
120,0,0,0,0,0,1.09,0,0,0,0,0,1.31,1.13,0
