stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.8,30.4,4.61,0,4.5,0,0,0,0,0.91,0,0,0.85,1.16,0,0,0,0.86,7.4,0,0,20.36,147.02,4.09,0,1.85,0,23.32,0.9,11.31,1.91,0.88,5.78,41.96,0,0,0,0,0
 24-34,0,1.6,10.12,0.66,0,13.97,0,0,0,7.93,0,0,0.81,0.67,1.54,0,0,1.1,0,15.29,0,0.82,6.71,226.9,3.32,2.78,3.83,0,23.85,0,0,0.7,2.77,4.07,50.46,0,0,19.6,0,0.63
 36-46,0,0,4.79,0,0,45.33,1.28,5.04,2.96,21.22,0,0,1.71,4.65,0.79,8.4,2,0,0.86,28.2,2.14,0.8,16.63,375.3,3.32,2.65,6.32,0,42.6,0,16.36,0.67,4.24,0,62.57,0,0,12.17,0,12.48
 48-58,0,0,11.2,2.62,0,106.29,1.23,11.34,0.38,32.7,0.89,0.7,1.24,7.95,0,1.39,1.11,0,0.84,48.5,2.92,0,4.44,352.17,0.4,8.79,8.92,1.12,25.17,0,0,6.55,0,0,54.61,0,0,16.67,0,3.88
 60-70,0,0,12.23,5.52,0,264.63,0,2.95,11.8,41.15,1.84,0,0,6.42,1.53,7.54,0,2.6,0.86,60.14,2.18,0,7.3,376.83,0,5.09,15.56,1.9,15.96,0,0,0,0,0,41.66,0,1.84,11.76,0,11.22
 72-82,1.31,0,15.03,9.19,0,349.06,7.66,0,7.65,62,2.7,0,1.06,4.22,0.64,2.13,2.41,0,0,101.5,2.03,3.88,1.12,448.42,1.15,5.22,12.93,2.24,32.14,0,0,3.17,0,0,51.57,1.25,0.63,18.36,2.2,15.52
 84-94,1.47,0,10.63,5.5,1.84,191.15,0,6.07,2.55,62.67,2.14,0,0,5.75,0,3.44,1.88,0.6,12.47,73.51,5.23,0,7.1,195.85,2.28,10.5,9.68,0,47.28,0,0,0,0,0,39.01,4.31,2.19,14.24,6.13,0
 96-106,1.19,0,37.03,12.02,0.9,138.91,0,3.11,0.81,60.37,13.62,0,0.58,10.96,2.31,4.96,3.92,6.49,0.68,42.97,1.41,1.97,0,174.43,0.62,10.79,14.05,3,59.4,0,0,0,0,0,11.78,2.81,6.2,38.76,3.77,2.13
108-118,0,0,44.47,11.71,7.49,240.31,0.65,4.99,1.54,96.46,6.44,0,0.56,10.21,3.72,14.04,4.31,8.58,0.94,94.08,2.06,5.03,10.59,244.13,3.29,11.69,16.4,0.95,50.81,0,0,2.06,0,0,13.11,2.7,1.96,17.05,5.15,17.61
120,3.29,0,44.92,0,5.15,366.18,2.66,4.44,9.6,131.83,27.98,0,0,26.76,2.69,0,12.33,5.9,0,81.84,0,0,0,501.3,0,22.41,13.67,0,35.1,0,0,6.86,0,0,34.55,2.39,10.67,31.27,0,7.34
