stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.38,0,0,0,0,0,0,1.81,0,26.13,0,0,0,0,0,0.88,0,0,0,8.23,12.22,0,0.85,0,0,0,3.31,0,0.81,9.25,0,0,0,0,0
 24-34,0,0,11.62,0,0,2.43,0,0,0,0,0,14.61,0,0,0,0,0,4.66,0,0,0.83,226.12,0,2.43,10.82,0,0,0.95,0,0,0,40.96,0,0,0,0,1.58
 36-46,0,0,2.36,0,0,16.64,0,0,0,0,0,11.04,0,0,0,3.76,0,1.54,0,0,1.5,587.89,0,2.5,18.45,0,0,0.64,0,0,0,100.18,0,0,0,0,0
 48-58,0,0,7.19,0,0,80.12,0,4.09,0,20.06,0,4.43,7.07,0,0,0,0,3.91,0.7,0,6.73,1093.88,0,4.6,21.74,0,0,2.69,5.34,1.17,0,140.67,0,0,0,0,0
 60-70,0,0,6.91,0,0,268.22,0,0,0,10.08,0,1.37,0,0,1.16,1.57,0,23.56,0,4.68,0,1959.49,0,4.56,11.56,0,8.44,0,0,0,0,284.99,0,1.22,0,0,0
 72-82,0,0,4.85,0,0,683.36,0,0,2.08,26.56,0.55,0.86,0.59,0,0,0.64,0,15.22,0.93,0,2.29,1987.99,0,13.08,24.26,0,0,0,0,0,0,156.05,1.21,0,0,0,2.17
 84-94,0,0,17.82,1.66,0,779.23,1.9,0.79,0.77,23.62,0,0,0.71,0.96,0,4.11,0,13.39,0,1.61,1.23,1219,0,9.67,17.03,0,0,2.77,0,0,0,154.25,0.68,0,0.82,0,0
 96-106,0,0,5.53,5.28,0,1000.85,0,0,0,39.33,2.01,0.61,1.04,0,0.77,16.38,1.54,15.25,0,0,0,1121.93,0,6.14,22.51,0,0,1.64,0,0.66,0,70.31,0,0.9,9.48,0.93,14.02
108-118,0,0,19.88,0.42,3.68,1201.25,0,0.69,1.55,35.08,0,2.24,2.22,0,0,3.08,0,8.58,0,0.74,0,1477.03,2.07,6.84,30.49,0,0,6.98,0,0,0,65.17,1.42,0,0.71,1.6,0
120,0,3.17,9.7,14.55,0,1497.21,4.32,3.44,0,182.09,4.06,1.85,5.16,0,0,12.83,0,58.05,0,0,0,2898.98,0,50.87,35.8,0,0,0,1.22,1.63,0,157.24,0,10.18,15.82,0,0
