stage,axial,blastomeres,endoderm,epidermis,eye,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  3-4,9.94,22.77,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.84,0,3.58,0,0
 10-12,0,0,3.04,0,0,0,0,0,11.74,0,0,40.58,0,0
 24-34,0,0,0,0.72,0,0,0,0,2.89,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.9,0,0.87,0,0,0
 48-58,0,0,0,0,0,0,0,0.53,2.99,0,0,0,1.32,0
 60-70,0,0,0,0,2.19,4.51,0,0,1.08,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,6.61,0,0.65,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0.45
