stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.46,32.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,0,0,0,3.56,0,0,0,0,0,0,23.36,0,14.46,0,0,0,0
 10-12,0,17.69,0,0,0,0,0,0,0,0,0,0,0,7.11,0,9.72,4.52,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,4.37,0,0
 24-34,0,0,0,0.66,0,0,0,0,0,1.33,0,0,0,1.74,0,0,0,1.41,0,0
 36-46,0,0,0,3.67,0,0,0,0,0,1.92,0,0,0,5.19,0,0,0,0,0,0
 48-58,0,0,0,4.06,1.29,0,0,0,0,10.66,0.53,0,0,7.75,0,0,0,0.4,0,0
 60-70,0,0,0,2.79,12.45,0,0,0,2.19,29.05,0,0,0,660.59,0,0,0,1.94,0,0
 72-82,0,0,0,7.12,14.18,3.05,0,0,0,68.96,0,0,0,793.48,0,0,1.9,1.51,6.06,0
 84-94,0,0,0,49.43,2.61,0,0,0,0,37.45,0,0,0,76.97,0,0,3.02,0,0,0
 96-106,0,0,517.32,2.78,6.07,0,0,0,0,56.75,3.47,2.17,4.65,1042.84,0.57,0,0,0,0,0
108-118,0,0,0,7.24,8.53,0.94,0,0,0,79.91,0,0,10.03,1732.35,0,0,0,0,0,0
120,0,0,2.33,17.4,11.41,11.45,0,4.21,0,318.4,0,0,0,520.92,0,0,0,0,0,1.43
