stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,146.56,2082.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.95,0,0,0,0,0,0,0,0
  5-6,97.84,1953.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,0,0,0,6.17,0,86.82,0,0,0,0,0,0,0,0
  7-9,0,9.6,12.09,0,0,15.69,0,0,0,9.45,0,0,0,0,0,0,0,0,296.14,10.14,0,0,89.31,0,0,20.65,0,0,0,0,0,0,0
 10-12,0,7.14,4.69,0,11.83,5.91,0,0,0,0,0,0,0,0,0,0,0,0,283.52,0,0,0,80.03,0,0,5.47,28.72,0,9.81,0,0,0,0
 14-21,0,0,0,1.77,1.87,0,0,14.54,0,0,0,0,0,0,0,4.18,0,0,17.03,1.61,1.51,8.99,0,0,1.42,0,33.7,0,41.25,0,0,0,0
 24-34,0,0,0,0.97,0,0.77,0,31.98,0,0,0,0,0,1.56,0,2.43,0,0.9,39.79,0,7.82,8.36,0,0,1.81,0,32.75,0.82,42.93,0,0,0,0
 36-46,0,0,0,17.96,0,3.37,2.07,18.31,0,0,0,0,0,4.35,0,5.85,0,2.73,24.33,0,11.01,6.37,0,0,0,0,30.16,0,42.05,1.37,0,0,0
 48-58,0,0,0,0.43,0,10.35,0,15.16,0,0,0,0,0,3.45,1.78,7.97,0,0,21.63,0,16.93,9.09,0,0,0,0,16.67,0,30.54,0,0,0,0.92
 60-70,0,0,0,0,0,11.99,0,24.4,0,0,0.93,0,0,4.14,0,4.41,1.19,1.7,16.85,0,21.69,19.71,0,0,0.74,0,7.88,0,15.02,0.86,1.24,0.98,0
 72-82,0,0,0,0,0,8.59,0.69,13.61,0,0,0,0,0,10.61,0,6.79,0,0,10.2,0,11.39,14.41,0,1.08,0,0,1.43,0,9.33,0,0,0,0
 84-94,0,0,0,0,0,6.22,0,14.6,0.75,0,0,0,0,11.05,0,7.76,1.97,0,4.44,0,14.63,23.89,0,0,0.92,0,12.02,0,5.74,0,0,0,0
 96-106,0,0,0,0,0,4.92,0,19.43,0,0,0,1.19,0,15.09,0,3.02,0,0,10.62,0,11.76,42.95,0,0.81,0,0,4.22,0,9.18,0,0,0,0
108-118,0,0,0,0.43,0,18.16,0,17.25,0,0,0,0,0.54,16.41,0,4.94,0,0,9.62,0,8.01,27.43,0,0,1.29,0,2.1,0,4.06,2.44,0,0,0
120,0,0,0,3.29,0,3.83,10.43,15.15,0,0,0,0,0,26.82,0,30.86,1.45,0,14.11,0,15.73,60.17,0,20.02,0,0,7.97,0,21.89,0,0,0,0
