stage,blastomeres,epidermis,fin_epithelia,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,105.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0
 14-21,0,2.57,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0
 24-34,0,0.91,0,0,0,0,0,0,0,0,0,0,4.84,0,0,1.41,0
 36-46,0,0,1.15,0,0,1.24,0,0,0,0,5.55,0,11.73,0,0,0,0
 48-58,0,0,0,0,1.04,0,0,0,0.88,0,4.76,0,2.81,0.94,0,0.44,0
 60-70,0,0,0,0,1.97,0,0,0,1.64,0,2.99,1.19,4.67,0,0,1.35,0
 72-82,0,3.1,0,0.88,2.23,0,0,0,0,0,6.86,0,2.28,0,0,1.09,0
 84-94,0,2.44,0.93,0,0.77,0.56,0,0,0,0,0,0.71,5.94,0,0,0,0
 96-106,0,6.52,5.03,0.95,2.59,0,0,0,0,2.07,6.37,0,4.21,0,0,3.29,0
108-118,0,4.07,0,0.69,0,0,1.36,0.55,2,0,2.1,0,3.86,0,0.43,4.08,1.09
120,0,0,0,0,4.26,0,0,0,2.03,0,6.25,0,9.31,0,0,2.19,0
