stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.63,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.21,3.78,0,0,100.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,3.44,0,0,55.07,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,1.07,0,6.19,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,1.23,6.29,0,0,0,0,0,0,0,0,0,5.44,0.9,0,1.29,0,0
 24-34,0,0,0,0,1.52,0,12.96,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,9.72,8.25,0,0,0,0,0,0,0,0,0,0,0.71,0,2.1,0,0
 36-46,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,8.11,0,1.69,2.03,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0
 48-58,0,0,0,0,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,1.33,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,303.25,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0.58,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 72-82,0,0,0,16.57,3.27,0,2538.13,0,1.82,1.7,11.68,2.23,1.85,0,0.72,0,20.55,0,19.24,0,0,0,96.54,0,0,0,0,1.03,1.78,0,0,0,0,0,0,3.05,0,0
 84-94,0,0,2,5.2,0,0,2178.23,0.56,0,0,9.96,0,0,0,0,0,49.12,9.11,10.25,0,0,0,36.91,0,1.1,0,0,0,1.73,0,0,0,0,0,0,2.24,0,0
 96-106,0,0,0,21.4,6.35,0.59,3524.91,0,0.83,0,17.01,0,0,1.31,0.56,2.7,284.73,7.05,21.24,2.02,0,3.75,93.25,0,0,0.98,0,2.8,10.96,0,1.06,2.09,0,3.24,2.07,8.34,0,0
108-118,0,0,0,6.43,7.09,0,3321.58,0.99,0,0,24.43,0.76,0,1.22,2.24,0,506.45,0,39.78,0,0,4.37,118.13,0,1.33,0,0,4.36,4.54,0,0,0,0,3.62,3.28,3.27,0,6.91
120,0,0,8.73,15.07,5.47,0,3216.28,7.84,7.94,0,27.68,2.75,0,12.55,0,0,259.18,0,20.4,0,0,0,178.59,7.66,1.09,0,0,0,0,0,0,0,0,12.11,0,12.92,0,0
