stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,90.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.72,0,0,0,0,0,0,0,0,0,0
  5-6,7.28,190.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.1,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,58.02,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.42,0,0,0,4.28,0,0,0,9.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,177.11,10.07,0,31.22,0,0,0,3.05,2.51,4.04,2.19,0,1.83,0,0,0,1.95,69.5,0,0,96.1,317.16,6.1,0,3.09,5.05,0,5.83,20.19,0.89,1.58,61.55,48.32,0,0,0,0,0
 24-34,0,0,1.17,8.46,0.95,0,0,0,0.8,0.76,0.94,0,0,0,0,0.68,0,0,0,0,23.27,0,1.77,3.02,38.98,0,0,0,0,0,45.86,0,1.35,0,0.61,8.59,0,0,2.65,0,0
 36-46,0,0,0,17.55,0,0,9.43,0,6.83,0,4.28,2.16,0,0.56,0,0,0,0,0,16.61,22.27,0.56,2.72,8.39,70.37,4.88,1.82,7.07,0,0,31.21,0,15.73,0,0,11.21,0,0,4.01,0,0
 48-58,0,0,0,6.18,0,0,3.08,0,12.21,0,8.09,0,0,0,1.29,0,0,0.49,0,0,6.42,0,2.51,2.29,23.92,0,0,0,0,0,12.91,0,3.27,0,0,4.4,0,0.89,0.45,0,2.65
 60-70,0,0,0,32.56,0,0,26.06,0.79,11.56,0,30.91,0,0,0,11.09,0,0,0,3.72,0,38.53,0,1.51,1.07,80.94,1.62,0,16.86,0,0,23.16,0,3.19,0,0,12.78,0.61,6.38,1.5,1.15,0
 72-82,0,0,0,3.84,0,3.84,10.83,0.55,0,0,19.28,0.49,0,0,10.04,0,0.55,0,1.6,0,25.57,0,2.84,2.73,37.86,0.5,1.28,1.63,0,0.71,14.69,0,2.71,0,0,12.26,1.06,0,2.46,1.22,0
 84-94,0,0,0,4.96,0.64,3.44,16.11,0,2.35,0,10.21,1.54,0,2.33,17.3,1.17,1.74,0,0,0,15.57,0.65,0,5.8,19.11,0,0,4.7,0,0,30.03,0,8.16,0,0,3.91,0,1.14,6.99,0.63,6.42
 96-106,0,0,0,16.76,1.67,2.6,24.03,6.3,4.01,0,36.19,2.59,0,3.15,20.19,10.16,0,0,4.31,0,49.17,0,1.83,8.91,35.53,0,2.76,8.26,0,8.53,281.62,0,3.98,0,0,0.95,0,0.72,1.22,4.3,1.09
108-118,0,0,0.65,19.97,0,74.48,8.45,0,5.96,0,46.89,6.01,0,0,16.74,14.38,4.92,0,2.15,0,49.49,4.02,3.39,11.74,41.19,3.33,0.7,15.72,0,0.76,198.18,0,9.21,0,0,0.48,1.87,0,4.18,0.82,2.08
120,0,0,0,30.88,2.16,17.1,18.16,0,14.22,0,50.79,7.48,0,0,66.59,17.94,7.21,1.48,0,0,60.95,25.08,12.98,21.53,80.74,0,2.15,4.4,0,8.63,517.17,0,2.43,0,0,4.07,0,0,21.68,0,0
