stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,33.23,193.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.68,0,0,0,0,0,0,0
  5-6,34.37,503.78,0,0,0,0,0,0,0,0,0,23.56,0,0,0,0,0,0,0,0,0,0,0,23.23,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.55,6.22,0,95.67,0,0,6.12,0,0,0,0,71.18,0,0,0,0,0,0,0,0,0,0,0,299.47,152.8,0,0,145.26,0,0,0,0,0,0,0,0
 10-12,0,50.64,0,2130.94,0,6.59,14.54,0,0,0,0,17.8,0,0,0,0,0,3.73,0,0,0,0,3.87,4778.92,243.97,0,0,442.58,6.22,4.36,21.97,0,3.24,177.96,0,0
 14-21,0,0,32.9,163.49,250.27,48.21,30.3,0,0,524.08,210.94,15.65,4.59,0,1.9,0,0,41.14,1.28,152.07,4.6,0,40.65,1107.61,22.91,0,2197.49,16.95,2.64,4.24,8.27,1.62,15.89,5680.88,7.23,0
 24-34,0,0,31.71,120.08,32.66,4.53,32.66,0,0,425.16,63.37,3.85,11.72,0,2.73,0,25.68,67.55,3.14,359.25,0,0,55.52,1298.43,11.48,0,1295.21,0,2.36,0,8.04,1.99,2.09,3534.75,2.65,0.93
 36-46,0,0,14.12,15.51,3.09,4.36,27.21,0,0,184.29,31.79,0,6.98,0,0,0,0.65,64.1,0,91.04,0,0.67,12.21,388.91,20.53,0.99,326.78,0,9.07,0,6.19,0,0,910.44,7.34,0
 48-58,0,0,6.58,1.65,3.86,0,8.53,0,0,45.76,9.52,0,0,0,0,0.88,0,2.35,0,55.95,0,0,3.84,105.02,8.16,2.47,110.13,0,0,0,3.21,0,0,272.29,0,0
 60-70,0,0,0,0,7.68,0,10.49,0.84,0,23.28,5.55,0,0,0,0,2.1,0,1.8,0,3.37,0,0,0.61,79.17,1.63,0,16.13,0,0,0,4.11,0,0,41.15,0,0
 72-82,0,0,0,0,0,0,8.04,0,0,16.18,0,0,0,0,0,5.71,0,0,0,1.3,0,0,0,74.76,0.53,2.64,8.02,0,0,0,0.9,0,0,36.97,0,0
 84-94,0,0,0,1.01,0,0,7.89,0,0,38.74,2.91,0,0,0,0,1.92,0,0.57,0,1.48,0,0,0,40.3,0,0,10.27,0,0.71,0,0.75,0,0,46.1,0,0
 96-106,0,0,1.15,0.62,1.69,0,0,0,0,14.32,0,0,0,0.64,0,27.47,0,0,0,1.89,0,0,0,53.7,3.68,1.34,15.01,0,0,0,0,0,0,60.52,0,0
108-118,0,0,0,0,2.12,0,0,0,0,18.52,0,0,0,0,0,14.28,0,2.39,0,0,0,0,0,64.82,0,0,11.96,0,0,0,2.54,0,0,73.24,0,0
120,0,0,0,0,0,0,10.46,0,1.51,3.81,0,0,0,2.35,0,4.44,0,0,0,0,0,0,0,82.8,0,3.73,11.49,0,0,0,0,0,0,199.46,0,0
