stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,39.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,5.97,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.71,0,2.59,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0.85,1.4,0,0,0,2.82,5.85,0,0,0,0,2.08,0,3.67,1.24,0,0,0,0,0
 24-34,0,0,2.51,0,0,0,2.42,0,0,0,0,0,0,0.8,12.7,0,0,0,0,2.7,0.94,0,4.08,2.55,0,0,0,0,0.8,0,0,1.21,2.58,0,0,1.16,0,0
 36-46,0,0,0,0,0,1.12,46.71,0,0,0.61,0,0,0,0,0,0,0,0,0,22.75,0,0,5.35,52.49,1.21,0,0,0,0,0,0,0,5.62,0,0,9.03,0,0
 48-58,0,0,1.22,0,0,0,232.67,0,0.38,4.29,7.65,0,0,0,0,0,0,0,0,31.32,0,2.99,8.68,69.99,0,1.25,0,0,0,0,0.77,0,3.75,0,0.42,0,0,0
 60-70,0,0,0.7,0,0.68,0,1231.9,0,0,12.16,0.84,0.6,0,0.58,0,0,0,0,0,106.84,0.67,0.89,1.9,72.36,0,0,0,0,0,0,0,0,1.09,0,0.79,2.17,1.09,0
 72-82,0,0,1.53,0,18.73,5.52,2708.83,0.49,0,8.48,18.27,0,1.62,1.18,0,0,0,7.52,0,109.54,0,7.98,4.21,134.61,0,0,0.77,0,0,0,0,0,0.86,0,3.58,4.59,12.06,0
 84-94,0,0,0,0,1.88,0,1738.16,0,2.65,3.22,35.12,3.39,0,0,0.73,0,0,0,0,141.89,0,8.49,3.48,143.3,0,0,0,0,0,0,0,0,0,0,6.04,1.23,11.28,0
 96-106,0,0,0,0,5.67,9.65,2241.67,1.05,0,3.23,36.92,0,0,0.56,1.08,0.81,1.32,1.56,0,90.72,0,9.15,5.99,134.38,0,0,0.73,0,0,0,0,0,0,0,2.59,0.66,13.03,6.02
108-118,0,0,2.35,0.74,10.59,0,1707.81,0,0.53,0,22.65,6.41,0.47,0,0,0,0,0.46,0,114.78,0,4.87,2.31,179.25,0,0,7.95,0,3.27,0,0,0,10.69,0.89,3.03,1.37,6.72,0
120,0,0,1.73,0,0,0,1007.12,0,0,3.27,33.75,0,0,1.14,0,0,1.88,0,0,160.5,0,19.98,1.9,360.1,0,0,0,0,0,0,0,0,5.98,0,0,0,9.45,0
