stage,axial,blastomeres,endoderm,epidermis,eye,gut,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,45.11,677.89,0,0,0,0,0,0,0,0,0,0,32.33,0,0
  5-6,24.63,160.64,0,0,0,0,0,0,0,23.61,0,0,8.08,0,0
  7-9,0,0,0,0,0,0,0,0,0,41.49,0,13.16,0,13.09,0
 10-12,0,0,6.9,0,6.29,0,0,0,0,34.22,0,4.24,0,6.05,0
 14-21,0,0,0,0.82,0,0,0,0,1.02,2.32,0,0.82,0,0,0
 24-34,0,0,0,0.72,0,0,0,0.75,0,0,0.66,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.62,0,1.01,0.57,0,0,0,1.09,0,0
 96-106,0,0,0,0,2.08,8.15,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,7.65,16.43,3.24,0,2.16,0,0,0,0,0,1.69
