stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,106.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,103.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,68.89,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,119.91,4.5,0,0,54.8,0,0,13.28,0,0,0,0,0,0
 10-12,0,0,6.48,0,0,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.25,0,0,0,44.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,5.96,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,128.14,0,0,0,0,0,0,0.91,3.37,46.77,0,0,0,0
 24-34,0,0,0,0,0,11.95,0,0,0,111.11,0,0,0,0,0,0,0,0,0,2.94,0,0,2.64,1253.96,0.85,1.69,0,0,0,0.87,0,1.81,216.97,0,1.91,0,1.54
 36-46,0,0,0,0.58,0,15.9,0,0,0,242.93,0,0,0,0,0,0,0,0,0,8.04,0,0,1.36,1006.2,0,0,1.74,0,0,9.55,0.63,0,135.63,0,0.88,0,0
 48-58,0,0,0,8.99,0,116.25,0,0,2.43,587.46,0,0,0,0,0,0,0,0,0.53,14.2,0,0,0,1209.62,0,0,0.44,0,0,3.5,0,0,135.96,0,1.37,0,0
 60-70,0,5.9,0,3.03,0,89.3,0,0,0,1475.78,0.79,0.66,0,0,0,9.69,1.52,0,1.24,18.75,0,0.85,8,2420.6,0,0,0,0,0,10.9,0,0,97.97,5.09,0,0,0
 72-82,0,0,0,20.44,0,164.03,0,4.8,0.51,1564.48,0,0,1.12,2.57,0,0,0,0,0,47.55,0,3.95,0.57,2327.97,0,0.57,0.79,0,0,2.73,1.23,0,70.73,0,12.53,0.91,0
 84-94,0,0,0,17.15,5.52,312.62,0,0.77,0,1186.99,1.09,0,0,0.91,0.68,0,0,0,0,44.35,3.73,3.04,0,1458.25,0.64,2.46,0.9,0,0,10.69,0,0,52.88,1.32,21.66,0.75,0
 96-106,0,0,0,13.47,1.77,133.49,0,0,8.29,1092.22,1.38,0,0,0.63,0.69,0,0,0,0,27.65,0,0,8.27,1347.5,0,0,0.59,0,0,2.39,0,0,6.39,1.88,1.06,0,0.91
108-118,0,0,0,15.44,0.94,124.35,4.57,0.72,0,1390.26,0,0,0,4.15,5.62,1.01,0,1.27,0,74.84,0,2.79,4.68,1756.2,0,0,0.57,0,0,3.11,0,0,17.35,0,6.92,1.17,0
120,0,0,0,26.17,0,369.84,0,0,0,4105.46,0,0,1.54,7.79,0,22.22,0,0,0,77.4,0,1.45,1.58,6465.51,0,0,0,0,5.29,2.77,0,0,15.39,0,24.9,0,0
