stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.2,1204.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.39,1896.07,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.54,8.9,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.37,210.31,0,175.86,0,0,0,393.45,0,0,0,0,84.15,0,0,0,0,0,0,0,0,0,0,0,3258.61,58.43,0,0,1102.94,0,0,34.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.58,0,192.1,0,6.18,0,411.62,0,0,0,0,47.97,0,0,0,0,0,0,0,0,0,0,0,4286.35,85.62,0,0,1049.73,0,10.14,0,0,111.96,0,0,6.79,0,0,0,0,0
 14-21,2.31,0,0,24.26,96.55,36.5,0,97.07,0,0,42.19,6.17,0,1.57,0,11.97,0,0.84,0,0,71.33,0,0,65.82,1504.54,16.46,0.84,13.93,40.01,0,39.1,0,75.68,6.46,4.79,97.16,376.89,0,0,3.09,0,0
 24-34,0,0,0,4.87,35.66,12.5,0,319.93,0.79,0,39.66,0.63,0.74,5.88,1.36,3.28,0.62,3.36,1.53,0,171.63,0,0.91,62.28,1850.99,16.59,6.23,27.1,0,0.99,66.86,0,0,0.7,10.41,5.69,328.1,0,0,53.77,0,7.65
 36-46,0,0,0,0.87,52.72,2.09,0,459.67,3.08,1.45,40.91,0.66,0,0.56,1.66,0,2.72,2.37,9.9,0,128,1.84,4.91,39.52,891.97,2.3,4.89,3.54,0,0,50.52,0,0,0.63,0,0,183.49,0,0,10.76,0,6.39
 48-58,0,0,0,0,22.72,1.15,0,420.89,5.5,5.71,36.26,1.87,0,5.1,0,0,0.86,0.98,0,0,148.76,1.31,3.61,37.57,475.81,8.6,3.01,6.67,0,0,31.23,0,0,0,0,0,51.88,0,0.44,15.65,0,8.88
 60-70,0,0,0,0,26.49,5.21,0,248.48,2.97,4.15,41.55,8.32,0,1.47,1.21,0,4.24,0.64,0.74,0,133.38,1.53,16.83,20.62,271.49,3.16,0.63,3.43,0,0.71,10.18,0,0,1.79,0,0,19.19,0,0,6.51,0,10.33
 72-82,0,0,0.83,0,17.64,0.57,0.76,90.65,1.26,3.48,39.61,3.27,0,1.72,7,4.28,0,1.22,0.55,1.18,108.81,1.46,3.32,21.69,139.15,1.43,1.42,10.51,0,0,13.66,0,0,0,0,0,3.66,0.59,0,27.5,0,3.4
 84-94,0,0,0,0,26.64,3.22,0,123.65,0.86,5.73,26.31,2.73,0,0,10.05,1,0.9,0,2.79,0,116.59,1.76,13.44,19.75,140.19,6.57,0.99,8.01,0,0.83,17.02,0,0,1.7,0,0,0.58,5.11,0,13.93,1.53,0
 96-106,0,0,0,0,32.19,1.25,0,60.05,2.43,2.17,25.01,4.94,0,4.89,9.06,1.88,0,2.98,3.18,0,87.43,0,0.63,15.34,132.36,5.5,4.44,8.4,0,4.7,9.56,0,0,3.34,0,0,2.06,2.49,0.78,28.02,0.68,7.1
108-118,0,0,0,0,28.43,10.14,0.47,70.11,1.64,2.35,50.85,6.37,0,1.92,14.57,2.98,1.45,0.6,4.98,0,95.36,0,2.24,24.36,192.54,4.41,2.65,13.57,0,6,23.31,0,0,1.58,0,0,4.94,0.96,0,10.89,1.89,4.26
120,0,0,0,0,29.51,23.6,0,115.61,0,1.04,77.4,2.23,0,0,29.05,2.56,0,1.84,3.71,0,55.76,0,1.45,10.85,300.67,2.52,3.23,3.96,0,6.17,11.22,0,0,0,0,0,2.03,0,2.12,24.21,0,0
